OutputArea,TotalPopOver16,StudentPop
S00136194,125,26
S00136195,388,331
S00136196,70,14
S00136197,106,42
S00136198,108,2
S00136199,62,14
S00136200,61,5
S00136201,83,15
S00136202,67,7
S00136203,84,6
S00136204,117,32
S00136205,74,17
S00136206,90,26
S00136207,64,16
S00136208,70,6
S00136209,85,4
S00136210,150,8
S00136211,85,44
S00136212,76,3
S00136213,64,6
S00136214,90,18
S00136215,82,9
S00136216,103,61
S00136217,114,5
S00136218,178,126
S00136219,70,23
S00136220,96,21
S00136221,60,10
S00136222,60,1
S00136223,151,4
S00136224,78,45
S00136225,83,7
S00136226,93,4
S00136227,65,8
S00136228,150,12
S00136229,87,6
S00136230,86,34
S00136231,102,7
S00136232,134,15
S00136233,70,33
S00136234,86,19
S00136235,56,3
S00136236,446,380
S00136237,139,23
S00136238,108,27
S00136239,308,262
S00136240,78,4
S00136241,67,32
S00136242,92,19
S00136243,75,15
S00136244,118,5
S00136245,584,512
S00136246,66,4
S00136247,103,10
S00136248,105,4
S00136249,72,1
S00136250,85,6
S00136251,99,21
S00136252,81,8
S00136253,70,28
S00136254,111,10
S00136255,99,3
S00136256,97,3
S00136257,103,35
S00136258,86,9
S00136259,160,26
S00136260,74,-
S00136261,81,14
S00136262,100,17
S00136263,77,11
S00136264,88,15
S00136265,101,35
S00136266,88,-
S00136267,86,23
S00136268,98,16
S00136269,87,27
S00136270,83,40
S00136271,95,8
S00136272,104,8
S00136273,59,4
S00136274,82,17
S00136275,116,43
S00136276,97,4
S00136277,63,13
S00136278,86,12
S00136279,54,28
S00136280,91,4
S00136281,111,20
S00136282,55,4
S00136283,61,8
S00136284,127,39
S00136285,103,30
S00136286,88,6
S00136287,71,3
S00136288,113,16
S00136289,131,10
S00136290,140,20
S00136291,93,26
S00136292,108,5
S00136293,74,4
S00136294,77,7
S00136295,71,15
S00136296,78,12
S00136297,98,19
S00136298,119,38
S00136299,105,9
S00136300,76,4
S00136301,124,16
S00136302,105,6
S00136303,110,25
S00136304,87,26
S00136305,115,44
S00136306,72,5
S00136307,101,33
S00136308,143,17
S00136309,121,12
S00136310,188,114
S00136311,84,9
S00136312,101,8
S00136313,75,13
S00136314,85,19
S00136315,81,24
S00136316,81,29
S00136317,90,3
S00136318,82,4
S00136319,77,17
S00136320,66,15
S00136321,86,24
S00136322,60,5
S00136323,96,7
S00136324,71,30
S00136325,116,6
S00136326,81,10
S00136327,56,3
S00136328,58,9
S00136329,103,8
S00136330,122,39
S00136331,65,13
S00136332,85,3
S00136333,411,357
S00136334,112,27
S00136335,59,18
S00136336,79,11
S00136337,102,4
S00136338,94,33
S00136339,101,11
S00136340,75,7
S00136341,58,17
S00136342,67,17
S00136343,109,38
S00136344,57,-
S00136345,106,11
S00136346,84,4
S00136347,60,3
S00136348,100,2
S00136349,96,24
S00136350,72,5
S00136351,90,11
S00136352,65,3
S00136353,107,6
S00136354,65,5
S00136355,90,17
S00136356,56,22
S00136357,75,6
S00136358,108,7
S00136359,78,10
S00136360,64,9
S00136361,63,14
S00136362,109,22
S00136363,69,6
S00136364,78,10
S00136365,123,9
S00136366,99,11
S00136367,81,17
S00136368,67,4
S00136369,113,4
S00136370,156,94
S00136371,65,7
S00136372,104,6
S00136373,103,25
S00136374,132,11
S00136375,118,1
S00136376,90,7
S00136377,67,20
S00136378,79,20
S00136379,83,36
S00136380,97,1
S00136381,73,26
S00136382,93,8
S00136383,82,2
S00136384,65,1
S00136385,96,15
S00136386,76,7
S00136387,117,24
S00136388,79,14
S00136389,124,19
S00136390,90,24
S00136391,70,7
S00136392,69,9
S00136393,67,3
S00136394,70,4
S00136395,155,18
S00136396,64,16
S00136397,111,11
S00136398,77,13
S00136399,67,4
S00136400,63,3
S00136401,86,12
S00136402,102,5
S00136403,97,7
S00136404,56,3
S00136405,95,48
S00136406,77,21
S00136407,94,15
S00136408,138,13
S00136409,98,5
S00136410,109,7
S00136411,70,13
S00136412,60,23
S00136413,69,24
S00136414,97,6
S00136415,85,11
S00136416,115,8
S00136417,74,15
S00136418,70,4
S00136419,99,6
S00136420,78,5
S00136421,65,11
S00136422,140,6
S00136423,84,6
S00136424,100,15
S00136425,94,28
S00136426,74,23
S00136427,78,8
S00136428,80,13
S00136429,124,12
S00136430,78,12
S00136431,134,14
S00136432,104,28
S00136433,95,10
S00136434,63,16
S00136435,72,4
S00136436,85,7
S00136437,148,32
S00136438,125,46
S00136439,140,17
S00136440,65,18
S00136441,77,4
S00136442,83,14
S00136443,72,2
S00136444,82,2
S00136445,100,28
S00136446,92,9
S00136447,93,12
S00136448,61,-
S00136449,98,7
S00136450,67,4
S00136451,92,11
S00136452,74,9
S00136453,83,3
S00136454,62,19
S00136455,104,6
S00136456,90,7
S00136457,89,18
S00136458,98,21
S00136459,57,8
S00136460,86,24
S00136461,139,9
S00136462,72,13
S00136463,132,7
S00136464,74,6
S00136465,75,7
S00136466,75,27
S00136467,96,-
S00136468,132,12
S00136469,91,16
S00136470,90,19
S00136471,70,17
S00136472,64,27
S00136473,67,30
S00136474,81,26
S00136475,82,-
S00136476,62,7
S00136477,86,22
S00136478,68,33
S00136479,105,7
S00136480,97,18
S00136481,73,9
S00136482,116,5
S00136483,86,6
S00136484,102,10
S00136485,84,8
S00136486,95,21
S00136487,80,16
S00136488,79,20
S00136489,73,26
S00136490,83,6
S00136491,77,10
S00136492,88,13
S00136493,112,11
S00136494,150,9
S00136495,62,12
S00136496,78,5
S00136497,81,29
S00136498,92,39
S00136499,98,2
S00136500,98,10
S00136501,69,-
S00136502,112,9
S00136503,85,33
S00136504,79,11
S00136505,111,2
S00136506,102,17
S00136507,85,5
S00136508,120,23
S00136509,127,5
S00136510,92,33
S00136511,59,5
S00136512,59,15
S00136513,111,10
S00136514,128,16
S00136515,92,3
S00136516,92,20
S00136517,68,1
S00136518,149,32
S00136519,92,5
S00136520,163,11
S00136521,91,13
S00136522,92,4
S00136523,91,6
S00136524,83,25
S00136525,97,10
S00136526,69,21
S00136527,109,17
S00136528,59,10
S00136529,68,10
S00136530,91,-
S00136531,74,4
S00136532,117,15
S00136533,78,5
S00136534,111,25
S00136535,62,19
S00136536,77,7
S00136537,93,10
S00136538,116,65
S00136539,94,5
S00136540,64,21
S00136541,76,6
S00136542,60,9
S00136543,111,9
S00136544,56,18
S00136545,85,4
S00136546,72,18
S00136547,78,11
S00136548,81,3
S00136549,101,16
S00136550,114,43
S00136551,103,25
S00136552,92,2
S00136553,84,4
S00136554,80,25
S00136555,85,4
S00136556,53,3
S00136557,68,19
S00136558,94,9
S00136559,55,8
S00136560,72,6
S00136561,66,2
S00136562,68,2
S00136563,65,9
S00136564,132,3
S00136565,102,5
S00136566,77,8
S00136567,106,22
S00136568,86,15
S00136569,84,2
S00136570,67,13
S00136571,69,6
S00136572,64,12
S00136573,89,17
S00136574,82,10
S00136575,66,3
S00136576,92,23
S00136577,69,5
S00136578,93,10
S00136579,81,18
S00136580,111,27
S00136581,61,16
S00136582,129,7
S00136583,63,15
S00136584,58,10
S00136585,106,10
S00136586,60,11
S00136587,57,8
S00136588,88,12
S00136589,62,10
S00136590,93,8
S00136591,98,4
S00136592,179,5
S00136593,111,7
S00136594,90,19
S00136595,91,19
S00136596,60,12
S00136597,84,11
S00136598,76,15
S00136599,78,14
S00136600,105,36
S00136601,74,7
S00136602,118,4
S00136603,104,20
S00136604,59,4
S00136605,137,10
S00136606,103,23
S00136607,75,20
S00136608,312,240
S00136609,96,4
S00136610,68,21
S00136611,82,31
S00136612,72,19
S00136613,64,18
S00136614,69,14
S00136615,86,35
S00136616,129,7
S00136617,66,22
S00136618,71,7
S00136619,52,2
S00136620,107,9
S00136621,115,21
S00136622,109,22
S00136623,64,16
S00136624,92,6
S00136625,58,9
S00136626,90,2
S00136627,98,8
S00136628,84,8
S00136629,73,8
S00136630,107,24
S00136631,74,13
S00136632,68,2
S00136633,82,4
S00136634,76,20
S00136635,79,15
S00136636,122,28
S00136637,190,7
S00136638,101,6
S00136639,82,22
S00136640,65,6
S00136641,103,6
S00136642,95,23
S00136643,71,16
S00136644,74,19
S00136645,83,5
S00136646,91,15
S00136647,110,18
S00136648,82,10
S00136649,84,7
S00136650,123,12
S00136651,79,13
S00136652,82,20
S00136653,55,4
S00136654,100,15
S00136655,107,21
S00136656,61,2
S00136657,105,13
S00136658,67,9
S00136659,98,11
S00136660,88,6
S00136661,72,6
S00136662,68,6
S00136663,115,8
S00136664,82,7
S00136665,101,21
S00136666,79,4
S00136667,64,30
S00136668,76,10
S00136669,90,10
S00136670,132,10
S00136671,64,5
S00136672,67,7
S00136673,84,17
S00136674,69,5
S00136675,109,3
S00136676,69,4
S00136677,137,13
S00136678,113,5
S00136679,114,14
S00136680,128,17
S00136681,111,23
S00136682,109,8
S00136683,89,1
S00136684,61,18
S00136685,108,20
S00136686,77,3
S00136687,107,7
S00136688,106,16
S00136689,82,13
S00136690,65,5
S00136691,110,8
S00136692,103,5
S00136693,79,12
S00136694,106,6
S00136695,90,4
S00136696,97,13
S00136697,118,6
S00136698,70,15
S00136699,70,1
S00136700,96,4
S00136701,72,6
S00136702,77,10
S00136703,103,5
S00136704,79,5
S00136705,60,3
S00136706,61,7
S00136707,70,8
S00136708,83,8
S00136709,143,8
S00136710,101,9
S00136711,101,6
S00136712,114,14
S00136713,85,6
S00136714,71,9
S00136715,125,11
S00136716,147,5
S00136717,71,7
S00136718,95,8
S00136719,82,6
S00136720,94,19
S00136721,117,24
S00136722,95,9
S00136723,89,6
S00136724,109,11
S00136725,62,7
