OutputCode,WorkplacePop
S00157528,25
S00157529,11
S00157530,33
S00157531,9
S00157532,39
S00157533,22
S00157534,18
S00157535,16
S00157536,8
S00157537,12
S00157538,47
S00157539,31
S00157540,20
S00157541,19
S00157542,6
S00157543,13
S00157544,16
S00157545,11
S00157546,25
S00157547,25
S00157548,32
S00157549,13
S00157550,18
S00157551,44
S00157552,95
S00157553,27
S00157554,18
S00157555,14
S00157556,39
S00157557,20
S00157558,14
S00157559,25
S00157560,18
S00157561,46
S00157562,19
S00157563,66
S00157564,26
S00157565,27
S00157566,9
S00157567,31
S00157568,39
S00157569,45
S00157570,34
S00157571,22
S00157572,132
S00157573,26
S00157574,31
S00157575,12
S00157576,19
S00157577,31
S00157578,15
S00157579,29
S00157580,34
S00157581,25
S00157582,33
S00157583,27
S00157584,17
S00157585,16
S00157586,53
S00157587,47
S00157588,74
S00157589,24
S00157590,14
S00157591,184
S00157592,19
S00157593,36
S00157594,10
S00157595,20
S00157596,15
S00157597,18
S00157598,21
S00157599,23
S00157600,16
S00157601,16
S00157602,20
S00157603,22
S00157604,101
S00157605,22
S00157606,74
S00157607,16
S00157608,21
S00157609,8
S00157610,22
S00157611,13
S00157612,17
S00157613,13
S00157614,20
S00157615,16
S00157616,39
S00157617,25
S00157618,14
S00157619,9
S00157620,11
S00157621,28
S00157622,14
S00157623,29
S00157624,60
S00157625,196
S00157626,62
S00157627,13
S00157628,232
S00157629,15
S00157630,20
S00157631,39
S00157632,21
S00157633,17
S00157634,75
S00157635,23
S00157636,158
S00157637,12
S00157638,27
S00157639,25
S00157640,13
S00157641,36
S00157642,41
S00157643,26
S00157644,12
S00157645,28
S00157646,81
S00157647,34
S00157648,15
S00157649,26
S00157650,24
S00157651,58
S00157652,21
S00157653,21
S00157654,22
S00157655,14
S00157656,31
S00157657,27
S00157658,18
S00157659,40
S00157660,31
S00157661,24
S00157662,23
S00157663,26
S00157664,24
S00157665,19
S00157666,58
S00157667,"2,861"
S00157668,16
S00157669,29
S00157670,22
S00157671,17
S00157672,22
S00157673,38
S00157674,15
S00157675,27
S00157676,14
S00157677,18
S00157678,29
S00157679,34
S00157680,45
S00157681,77
S00157682,37
S00157683,35
S00157684,127
S00157685,136
S00157686,40
S00157687,15
S00157688,21
S00157689,13
S00157690,26
S00157691,13
S00157692,41
S00157693,36
S00157694,38
S00157695,52
S00157696,12
S00157697,28
S00157698,44
S00157699,21
S00157700,20
S00157701,14
S00157702,19
S00157703,68
S00157704,37
S00157705,8
S00157706,26
S00157707,32
S00157708,17
S00157709,19
S00157710,26
S00157711,38
S00157712,37
S00157713,34
S00157714,37
S00157715,10
S00157716,46
S00157717,22
S00157718,76
S00157719,10
S00157720,43
S00157721,18
S00157722,47
S00157723,11
S00157724,16
S00157725,29
S00157726,123
S00157727,10
S00157728,38
S00157729,37
S00157730,39
S00157731,45
S00157732,24
S00157733,102
S00157734,37
S00157735,20
S00157736,34
S00157737,62
S00157738,31
S00157739,17
S00157740,69
S00157741,727
S00157742,10
S00157743,27
S00157744,24
S00157745,23
S00157746,17
S00157747,28
S00157748,50
S00157749,15
S00157750,10
S00157751,33
S00157752,11
S00157753,26
S00157754,26
S00157755,14
S00157756,21
S00157757,53
S00157758,19
S00157759,28
S00157760,42
S00157761,20
S00157762,70
S00157763,31
S00157764,33
S00157765,63
S00157766,28
S00157767,19
S00157768,162
S00157769,13
S00157770,27
S00157771,144
S00157772,32
S00157773,7
S00157774,14
S00157775,43
S00157776,27
S00157777,26
S00157778,33
S00157779,14
S00157780,3
S00157781,36
S00157782,34
S00157783,91
S00157784,13
S00157785,20
S00157786,29
S00157787,25
S00157788,22
S00157789,12
S00157790,15
S00157791,14
S00157792,27
S00157793,16
S00157794,72
S00157795,50
S00157796,20
S00157797,30
S00157798,26
S00157799,31
S00157800,20
S00157801,560
S00157802,17
S00157803,15
S00157804,8
S00157805,19
S00157806,60
S00157807,23
S00157808,"2,436"
S00157809,34
S00157810,25
S00157811,5
S00157812,64
S00157813,45
S00157814,74
S00157815,44
S00157816,9
S00157817,25
S00157818,52
S00157819,30
S00157820,134
S00157821,162
S00157822,27
S00157823,23
S00157824,22
S00157825,21
S00157826,32
S00157827,17
S00157828,52
S00157829,26
S00157830,133
S00157831,62
S00157832,25
S00157833,11
S00157834,15
S00157835,22
S00157836,18
S00157837,79
S00157838,44
S00157839,22
S00157840,32
S00157841,27
S00157842,28
S00157843,19
S00157844,14
S00157845,17
S00157846,32
S00157847,23
S00157848,19
S00157849,10
S00157850,19
S00157851,20
S00157852,22
S00157853,20
S00157854,35
S00157855,28
S00157856,12
S00157857,21
S00157858,11
S00157859,25
S00157860,58
S00157861,31
S00157862,26
S00157863,25
S00157864,63
S00157865,29
S00157866,24
S00157867,9
S00157868,22
S00157869,16
S00157870,14
S00157871,17
S00157872,7
S00157873,37
S00157874,15
S00157875,14
S00157876,27
S00157877,28
S00157878,35
S00157879,27
S00157880,30
S00157881,15
S00157882,73
S00157883,25
S00157884,32
S00157885,27
S00157886,8
S00157887,26
S00157888,45
S00157889,67
S00157890,24
S00157891,22
S00157892,8
S00157893,17
S00157894,42
S00157895,31
S00157896,32
S00157897,23
S00157898,35
S00157899,44
S00157900,41
S00157901,23
S00157902,46
S00157903,14
S00157904,16
S00157905,344
S00157906,58
S00157907,70
S00157908,15
S00157909,29
S00157910,25
S00157911,28
S00157912,167
S00157913,17
S00157914,30
S00157915,29
S00157916,52
S00157917,19
S00157918,9
S00157919,8
S00157920,123
S00157921,17
S00157922,22
S00157923,39
S00157924,29
S00157925,34
S00157926,15
S00157927,34
S00157928,68
S00157929,62
S00157930,31
S00157931,86
S00157932,33
S00157933,20
S00157934,23
S00157935,44
S00157936,7
S00157937,27
S00157938,16
S00157939,14
S00157940,10
S00157941,"1,595"
S00157942,23
S00157943,34
S00157944,31
S00157945,98
S00157946,27
S00157947,46
S00157948,20
S00157949,31
S00157950,10
S00157951,30
S00157952,271
S00157953,24
S00157954,20
S00157955,29
S00157956,66
S00157957,12
S00157958,34
S00157959,30
S00157960,35
S00157961,30
S00157962,33
S00157963,22
S00157964,37
S00157965,35
S00157966,34
S00157967,42
S00157968,35
S00157969,10
S00157970,28
S00157971,19
S00157972,46
S00157973,24
S00157974,14
S00157975,17
S00157976,27
S00157977,14
S00157978,27
S00157979,23
S00157980,16
S00157981,4
S00157982,32
S00157983,21
S00157984,29
S00157985,39
S00157986,25
S00157987,32
S00157988,19
S00157989,22
S00157990,117
S00157991,30
S00157992,22
S00157993,22
S00157994,16
S00157995,24
S00157996,19
S00157997,11
S00157998,34
S00157999,35
S00158000,50
S00158001,30
S00158002,24
S00158003,37
S00158004,37
S00158005,11
S00158006,33
S00158007,24
S00158008,70
S00158009,26
S00158010,21
S00158011,30
S00158012,12
S00158013,21
S00158014,535
S00158015,24
S00158016,15
S00158017,19
S00158018,39
S00158019,26
S00158020,35
S00158021,23
S00158022,40
S00158023,62
S00158024,9
S00158025,144
S00158026,18
S00158027,11
S00158028,13
S00158029,13
S00158030,13
S00158031,282
S00158032,28
S00158033,18
S00158034,22
S00158035,17
S00158036,28
S00158037,18
S00158038,26
S00158039,26
S00158040,17
S00158041,28
S00158042,27
S00158043,17
S00158044,42
S00158045,26
S00158046,16
S00158047,16
S00158048,36
S00158049,20
S00158050,29
S00158051,32
S00158052,15
S00158053,19
S00158054,81
S00158055,29
S00158056,22
S00158057,47
S00158058,27
S00158059,24
S00158060,45
S00158061,10
S00158062,38
S00158063,21
S00158064,24
S00158065,16
S00158066,18
S00158067,24
S00158068,28
S00158069,43
S00158070,38
S00158071,23
S00158072,41
S00158073,16
S00158074,12
S00158075,33
S00158076,10
S00158077,70
S00158078,25
S00158079,13
S00158080,36
S00158081,32
S00158082,18
S00158083,42
S00158084,17
S00158085,15
S00158086,30
S00158087,18
S00158088,15
S00158089,25
S00158090,16
S00158091,87
S00158092,29
S00158093,23
S00158094,40
S00158095,22
S00158096,30
S00158097,26
S00158098,19
S00158099,91
S00158100,41
S00158101,24
S00158102,137
S00158103,20
S00158104,28
S00158105,19
S00158106,25
S00158107,68
S00158108,19
S00158109,23
S00158110,82
S00158111,50
S00158112,30
S00158113,44
S00158114,31
