Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00135444",71,-,8,16,16,3,2,9,1,-,2,3,5,4,-,-,8
"S00135445",120,-,2,10,21,2,4,23,3,9,6,4,21,12,5,-,3
"S00135446",129,-,8,10,24,2,9,18,-,7,3,2,21,19,2,2,3
"S00135447",111,-,8,8,19,3,5,11,1,9,5,7,6,14,3,1,7
"S00135448",109,-,5,25,30,5,3,19,2,4,4,9,4,6,1,-,-
"S00135449",95,-,-,3,12,4,9,11,4,3,1,1,22,18,6,-,2
"S00135450",85,-,1,7,11,7,1,17,1,6,3,2,7,9,6,1,5
"S00135451",68,-,2,7,7,2,5,16,3,3,4,3,8,1,8,-,4
"S00135452",57,-,-,5,13,1,-,8,1,2,2,1,6,8,6,-,1
"S00135453",93,-,2,6,13,4,5,10,-,5,7,9,9,16,1,2,6
"S00135454",95,1,4,15,22,-,4,21,-,5,-,3,6,9,-,-,1
"S00135455",95,-,1,10,17,2,4,19,4,5,2,9,14,10,1,-,5
"S00135456",72,-,1,2,1,3,3,14,-,1,2,8,12,20,-,-,3
"S00135457",61,-,6,1,11,-,4,9,1,6,2,4,8,7,4,-,1
"S00135458",65,-,4,6,10,-,4,20,-,1,2,5,3,8,-,-,3
"S00135459",113,-,1,8,9,3,2,16,3,10,5,6,20,20,5,3,2
"S00135460",106,-,2,8,14,2,4,18,1,7,3,6,8,10,12,2,8
"S00135461",104,-,4,5,16,5,6,27,-,5,6,7,6,6,1,-,12
"S00135462",132,-,1,9,22,6,2,24,-,4,4,8,20,12,10,2,5
"S00135463",129,-,4,8,29,4,4,23,-,10,6,4,16,10,5,-,7
"S00135464",91,-,2,11,17,1,-,10,3,7,6,5,12,8,3,-,3
"S00135465",96,-,1,7,19,2,-,11,2,1,2,6,16,20,4,2,4
"S00135466",87,-,-,9,17,5,3,11,2,9,2,4,11,10,2,-,6
"S00135467",80,-,2,6,13,1,1,13,-,4,2,6,13,17,-,-,5
"S00135468",68,-,4,8,15,1,2,14,-,3,-,4,6,4,-,1,5
"S00135469",113,-,1,12,22,6,4,26,-,4,1,3,16,10,5,1,3
"S00135470",112,-,5,19,24,3,2,17,2,6,3,4,9,8,3,-,2
"S00135471",124,-,1,8,18,9,3,17,1,3,7,8,15,11,4,2,15
"S00135472",130,2,4,11,17,5,4,18,-,7,4,4,18,18,7,1,6
"S00135473",103,-,4,6,16,3,9,19,-,6,1,5,12,9,7,-,5
"S00135474",89,-,5,12,10,5,4,16,1,4,4,3,9,6,2,-,6
"S00135475",81,-,-,8,14,3,3,12,1,8,-,6,12,7,-,-,5
"S00135476",90,-,3,10,15,8,4,14,-,-,1,3,17,12,1,2,4
"S00135477",94,-,3,19,29,1,5,10,4,2,1,3,6,2,2,-,3
"S00135478",91,-,-,4,6,3,5,11,1,4,4,4,17,20,9,1,3
"S00135479",111,1,5,13,35,3,4,14,1,10,4,5,5,6,5,-,4
"S00135480",109,-,3,12,23,9,4,22,2,5,2,3,9,13,2,-,1
"S00135481",114,-,3,10,23,2,4,15,1,7,6,7,14,11,8,1,6
"S00135482",66,-,2,4,15,-,-,9,3,7,7,3,7,7,4,-,3
"S00135483",100,-,4,14,14,5,1,19,-,7,-,6,10,12,1,-,9
"S00135484",74,-,6,9,13,2,3,13,2,7,-,4,7,2,5,1,2
"S00135485",142,-,2,13,25,6,13,18,2,2,5,5,12,16,7,-,7
"S00135486",88,-,3,13,18,3,6,13,3,7,1,4,5,6,4,1,-
"S00135487",144,-,9,26,25,7,5,16,7,13,-,-,9,9,5,1,10
"S00135488",93,-,2,8,17,5,-,14,2,2,1,7,9,13,5,-,9
"S00135489",100,-,1,5,13,2,10,21,-,2,5,5,6,16,7,-,6
"S00135490",117,-,4,2,25,3,8,22,1,7,2,4,10,13,8,1,6
"S00135491",112,-,4,17,20,8,3,18,3,7,4,5,7,8,3,1,7
"S00135492",111,-,3,8,26,4,2,15,1,8,-,2,18,14,7,1,3
"S00135493",127,-,5,5,19,6,6,25,-,7,8,2,9,12,1,2,10
"S00135494",87,-,5,8,15,3,5,9,1,4,3,5,9,9,3,1,6
"S00135495",82,-,1,8,12,2,1,10,4,8,3,8,8,11,4,-,6
"S00135496",87,-,4,4,13,2,5,23,1,4,3,6,6,9,2,1,4
"S00135497",185,-,11,25,50,1,8,24,6,9,3,5,17,14,5,-,8
"S00135498",117,-,7,25,32,5,2,7,-,4,9,2,10,3,5,3,7
"S00135499",110,-,6,6,16,5,5,17,5,8,-,5,9,7,4,2,8
"S00135500",82,-,5,17,10,4,4,16,-,-,2,4,4,7,-,-,5
"S00135501",121,-,2,19,12,3,5,24,2,9,3,10,11,14,2,1,2
"S00135502",114,-,1,16,29,1,2,28,-,8,3,4,7,5,-,-,16
"S00135503",77,-,1,8,11,1,3,7,2,4,3,5,20,5,3,1,3
"S00135504",137,-,1,10,11,7,7,20,-,10,2,9,26,22,9,-,5
"S00135505",122,-,6,12,24,8,4,15,2,5,2,6,10,12,5,2,9
"S00135506",74,-,5,3,16,6,1,17,1,3,1,1,4,16,-,2,3
"S00135507",132,-,8,21,35,4,8,10,4,7,-,6,12,2,2,1,12
"S00135508",61,-,3,4,6,3,3,14,-,2,5,3,5,7,6,-,-
"S00135509",102,-,2,13,23,7,7,19,1,6,6,4,13,5,2,-,-
"S00135510",100,-,2,10,22,1,1,12,-,4,2,4,18,15,5,1,1
"S00135511",116,-,5,3,27,4,6,19,4,5,4,10,13,11,1,-,4
"S00135512",110,-,2,10,18,5,2,20,1,1,5,10,13,12,5,1,4
"S00135513",97,-,2,4,9,1,4,15,-,6,1,4,15,26,6,-,4
"S00135514",96,-,2,5,18,4,3,13,1,3,4,5,10,20,8,-,7
"S00135515",143,-,2,10,28,4,3,28,-,9,7,1,13,18,3,-,13
"S00135516",108,-,3,8,15,7,3,17,-,4,6,3,11,15,6,-,8
"S00135517",101,-,-,8,13,9,2,20,1,8,1,5,6,16,2,-,9
"S00135518",76,-,2,6,6,4,3,13,2,-,3,3,16,7,6,1,5
"S00135519",129,-,1,9,27,9,4,20,3,14,4,7,8,7,7,-,7
"S00135520",129,-,6,20,39,3,5,15,3,4,2,1,8,11,4,2,5
"S00135521",104,-,6,10,14,10,8,15,2,3,3,4,10,9,4,-,7
"S00135522",85,1,1,9,18,1,5,15,-,3,4,1,12,8,2,-,2
"S00135523",65,-,-,9,13,-,6,11,-,3,2,2,6,10,3,-,1
"S00135524",104,-,3,5,22,2,2,13,5,6,3,3,17,16,4,-,2
"S00135525",87,-,5,12,23,4,5,12,-,2,3,2,5,10,-,1,2
"S00135526",96,-,-,3,16,8,4,14,-,12,4,4,15,13,2,-,2
"S00135527",58,-,-,-,3,4,-,7,1,5,5,-,9,11,9,-,2
"S00135528",152,-,-,8,17,2,3,19,1,10,5,5,23,27,20,-,9
"S00135529",130,-,3,16,27,4,2,19,-,6,3,4,15,17,4,1,2
"S00135530",73,-,3,6,8,6,4,9,1,5,3,1,13,7,3,-,3
"S00135531",86,-,-,2,11,2,7,9,1,9,5,2,9,13,2,1,4
"S00135532",77,-,3,14,18,2,-,9,3,7,1,-,4,5,4,-,6
"S00135533",110,-,2,10,20,5,6,20,2,7,-,7,12,12,1,-,5
"S00135534",97,1,3,12,11,5,1,16,-,2,4,-,12,14,-,-,11
"S00135535",194,-,6,15,36,3,4,27,4,3,2,12,26,25,24,3,11
"S00135536",124,-,4,9,20,6,6,24,-,2,8,-,20,11,5,2,10
"S00135537",129,-,4,8,23,6,4,28,4,5,2,9,8,13,11,-,4
"S00135538",81,-,2,8,16,2,5,12,2,2,3,3,8,8,8,-,3
"S00135539",72,-,-,2,14,3,4,15,1,2,2,3,9,13,-,1,7
"S00135540",124,-,-,15,25,4,5,15,-,5,7,7,12,17,5,-,6
"S00135541",73,-,3,3,17,2,5,9,-,3,3,6,13,7,-,-,-
"S00135542",124,-,3,12,29,2,9,17,-,8,6,4,12,15,2,1,8
"S00135543",131,-,7,25,36,5,5,14,-,5,3,4,5,2,1,2,7
"S00135544",83,-,2,3,11,-,4,20,2,5,4,3,14,13,5,-,-
"S00135545",125,-,3,11,29,4,9,12,1,7,5,4,18,14,1,-,8
"S00135546",76,-,-,6,9,-,4,9,-,4,3,2,11,15,10,-,4
"S00135547",146,-,3,15,42,4,4,19,-,8,5,5,13,15,3,-,8
"S00135548",71,-,2,2,8,2,5,10,3,6,2,2,10,14,5,-,1
"S00135549",55,-,-,1,5,1,2,5,-,4,1,-,17,12,3,3,4
"S00135550",98,-,4,7,6,2,1,10,1,6,4,-,9,22,11,2,8
"S00135551",104,-,4,8,13,8,7,17,-,10,1,1,16,13,-,-,2
"S00135552",104,-,1,14,16,1,2,13,-,3,4,10,16,12,3,3,6
"S00135553",175,-,6,18,34,8,11,29,3,3,4,4,20,14,6,1,12
"S00135554",72,-,1,2,10,2,2,12,-,4,4,4,8,11,3,1,3
"S00135555",142,-,5,13,24,7,4,30,-,7,5,11,19,8,3,-,8
"S00135556",98,-,2,3,15,3,4,20,-,1,7,6,15,16,1,1,3
