Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00163499",71,-,3,10,10,-,2,6,3,13,4,1,9,6,1,1,1
"S00163500",68,-,-,2,4,3,3,8,1,4,3,3,9,16,2,1,1
"S00163501",92,-,2,16,17,4,3,13,-,6,3,3,10,9,-,-,5
"S00163502",120,-,3,6,20,9,5,25,3,7,-,10,16,15,-,-,5
"S00163503",96,-,2,4,10,4,7,16,-,6,1,4,15,25,-,-,7
"S00163504",92,-,6,10,14,3,2,14,1,12,6,3,7,10,1,-,4
"S00163505",65,-,-,-,5,8,-,4,-,6,3,1,11,15,1,1,5
"S00163506",73,-,5,7,18,-,2,6,2,8,1,-,5,7,4,4,4
"S00163507",94,-,4,6,17,4,4,12,5,4,1,-,15,9,3,-,6
"S00163508",99,-,1,11,20,5,1,18,1,4,5,6,13,11,-,-,4
"S00163509",113,-,2,8,16,7,4,24,1,5,5,8,13,8,3,-,-
"S00163510",104,-,3,7,10,4,4,16,5,19,4,1,13,13,5,-,1
"S00163511",88,-,2,-,10,3,2,17,-,2,7,4,14,18,4,2,7
"S00163512",88,-,-,5,12,3,2,12,2,10,4,5,14,12,4,-,4
"S00163513",123,-,2,7,16,7,8,16,-,6,5,1,21,17,3,-,14
"S00163514",64,-,3,7,16,4,4,7,-,9,1,1,6,1,1,-,3
"S00163515",87,-,-,2,8,1,4,11,2,4,5,4,12,21,4,1,4
"S00163516",60,-,-,2,7,2,5,7,-,5,5,5,6,15,-,-,2
"S00163517",134,-,7,9,25,6,8,10,10,16,4,4,11,10,4,1,8
"S00163518",74,-,1,9,15,-,3,11,2,13,7,-,6,1,3,-,1
"S00163519",104,-,-,6,12,4,2,8,1,11,4,4,25,17,7,1,5
"S00163520",70,-,4,6,16,4,-,8,-,3,2,8,7,10,1,-,5
"S00163521",108,-,6,16,27,6,6,11,5,6,2,-,8,9,-,1,2
"S00163522",100,-,3,10,17,4,4,18,-,3,6,-,12,15,6,-,3
"S00163523",74,-,1,3,7,-,1,9,2,7,3,8,10,11,5,1,5
"S00163524",82,-,-,1,16,4,4,14,1,4,7,7,9,14,1,1,4
"S00163525",88,-,-,6,16,2,5,7,-,4,5,6,13,13,2,1,5
"S00163526",131,-,3,18,32,7,7,15,-,3,1,8,10,16,4,-,6
"S00163527",131,-,3,2,10,5,4,10,1,7,13,8,22,24,9,1,5
"S00163528",111,-,1,4,17,3,-,10,2,6,4,8,22,23,8,1,4
"S00163529",119,-,1,3,9,5,3,10,3,7,9,3,28,32,4,-,2
"S00163530",65,-,1,-,9,2,-,3,1,3,5,2,15,11,8,-,4
"S00163531",131,-,2,4,27,4,7,26,2,6,4,7,14,24,1,1,6
"S00163532",123,-,3,9,32,6,3,11,4,12,3,10,9,9,8,1,5
"S00163533",83,-,2,13,19,2,2,12,3,1,2,4,16,10,3,-,2
"S00163534",66,-,8,9,15,4,1,5,2,4,-,1,1,6,3,-,3
"S00163535",67,-,1,-,7,1,-,5,-,-,6,7,11,18,4,-,2
"S00163536",116,-,5,13,20,7,4,17,4,10,3,7,14,11,5,-,1
"S00163537",108,-,2,2,5,5,1,13,-,7,5,7,26,22,9,-,3
"S00163538",75,-,8,12,9,2,5,14,4,3,2,2,7,3,-,-,3
"S00163539",111,-,-,4,10,2,4,13,-,10,4,8,18,20,8,6,5
"S00163540",59,-,1,3,3,3,7,6,-,4,4,4,8,9,6,1,6
"S00163541",60,-,-,-,3,-,3,4,-,4,5,2,12,19,5,-,3
"S00163542",73,-,1,2,7,4,3,10,1,2,5,3,9,18,3,-,5
"S00163543",53,-,-,4,5,-,4,4,-,4,-,3,13,11,-,-,5
"S00163544",105,-,1,11,10,4,9,15,7,9,7,4,13,15,1,1,4
"S00163545",74,-,-,2,3,3,3,10,1,3,-,5,21,15,6,-,2
"S00163546",108,-,-,-,10,-,4,12,2,4,9,2,19,30,7,4,8
"S00163547",62,-,-,3,8,1,-,8,2,2,6,6,10,12,-,-,3
"S00163548",134,-,-,12,31,6,5,19,-,3,5,4,14,28,5,-,3
"S00163549",142,-,2,17,33,9,6,10,4,14,2,6,17,8,3,-,10
"S00163550",112,-,5,9,17,3,1,18,2,3,2,5,23,14,3,-,9
"S00163551",141,1,3,10,34,5,3,23,-,4,1,10,20,15,6,3,9
"S00163552",71,-,1,4,1,3,5,4,-,7,9,-,16,15,8,-,6
"S00163553",77,-,-,2,8,-,-,5,-,5,5,3,11,19,3,-,6
"S00163554",64,-,1,4,15,-,1,2,10,18,-,2,2,5,2,-,2
"S00163555",84,-,6,10,14,4,7,11,3,4,5,-,12,7,2,-,1
"S00163556",78,-,1,4,11,2,-,4,-,3,5,6,15,21,2,-,7
"S00163557",107,-,5,8,24,-,2,9,3,16,5,1,11,11,4,-,6
"S00163558",73,-,-,7,20,1,4,8,-,2,3,3,5,7,6,-,4
"S00163559",63,-,2,3,2,3,2,11,2,4,3,4,6,16,2,-,6
"S00163560",80,-,1,2,6,4,4,6,-,7,3,3,16,21,4,1,5
"S00163561",110,-,-,1,14,5,2,6,-,3,4,9,15,31,6,-,7
"S00163562",57,-,-,1,6,-,2,5,1,4,4,-,9,21,3,3,3
"S00163563",68,-,-,4,15,5,5,12,-,2,2,6,8,7,2,-,3
"S00163564",59,-,3,5,17,2,2,7,2,6,2,2,5,2,1,-,2
"S00163565",108,-,4,6,29,7,4,12,5,15,-,-,7,13,4,-,1
"S00163566",80,-,-,10,21,1,-,11,5,13,1,2,8,6,3,-,2
"S00163567",64,-,3,11,18,4,4,10,2,-,-,2,4,2,-,-,1
"S00163568",130,-,2,15,31,3,6,18,8,10,3,3,9,7,3,1,9
"S00163569",77,-,5,5,21,7,5,7,1,2,6,1,8,5,5,-,-
"S00163570",103,-,8,17,17,7,-,14,5,4,4,3,5,6,-,-,8
"S00163571",62,-,-,2,4,1,1,9,-,-,5,5,14,15,2,1,3
"S00163572",128,-,1,12,26,3,4,14,1,6,7,9,12,23,5,-,6
"S00163573",67,-,-,5,4,-,2,9,-,5,4,2,12,10,7,-,9
"S00163574",80,1,-,5,12,3,6,13,5,6,3,2,6,13,-,-,4
"S00163575",141,-,9,16,32,-,10,10,5,8,9,4,19,13,5,-,2
"S00163576",61,-,-,8,11,2,-,15,-,4,2,4,5,5,2,1,1
"S00163577",111,-,3,3,10,2,5,26,1,2,6,6,19,14,2,1,3
"S00163578",101,-,3,16,30,7,-,12,2,3,3,3,14,4,1,-,5
"S00163579",107,-,-,4,9,2,2,19,1,4,2,4,20,26,5,-,4
"S00163580",77,-,1,5,17,2,-,14,-,4,3,3,11,8,1,1,4
"S00163581",145,-,6,18,40,7,1,17,2,18,3,1,18,7,1,1,1
"S00163582",77,-,7,10,20,2,3,11,2,2,3,-,8,3,5,-,3
"S00163583",124,-,6,15,31,4,7,20,1,7,2,4,12,2,4,-,8
"S00163584",117,-,8,8,22,5,6,14,-,11,3,2,17,22,4,-,4
"S00163585",86,-,4,11,14,4,3,11,1,16,4,4,8,7,3,-,3
"S00163586",87,-,3,10,14,5,3,6,5,16,1,2,9,9,2,-,5
"S00163587",136,-,5,9,38,8,7,18,1,13,3,9,13,7,1,-,8
"S00163588",85,-,2,9,12,5,4,10,1,10,-,4,8,9,5,-,7
"S00163589",60,-,3,9,9,4,4,4,1,12,3,2,2,3,-,-,4
"S00163590",109,-,5,7,19,1,4,19,1,11,4,9,10,6,2,1,12
"S00163591",61,-,3,7,10,4,3,6,1,3,2,3,7,4,2,2,3
"S00163592",91,-,3,7,15,2,-,21,-,11,4,6,7,6,4,-,7
"S00163593",84,-,1,12,18,1,5,11,1,8,3,5,7,5,3,-,2
"S00163594",67,-,3,11,5,-,1,9,3,4,5,4,9,9,4,-,5
"S00163595",78,-,4,4,9,3,1,16,1,4,5,2,12,8,5,-,4
"S00163596",71,-,4,9,17,3,4,9,2,6,-,4,11,2,-,-,3
"S00163597",97,-,3,8,19,6,1,14,2,2,1,2,14,12,-,1,6
"S00163598",100,-,3,13,10,9,-,19,-,7,5,7,11,8,1,-,6
"S00163599",85,-,1,7,25,-,3,9,-,3,4,4,11,6,4,1,-
"S00163600",77,-,3,6,17,4,6,10,2,8,2,-,5,9,2,1,5
"S00163601",130,-,-,3,30,3,5,20,-,8,6,2,16,17,4,3,6
"S00163602",83,-,3,11,23,4,4,9,2,3,4,7,2,7,-,1,-
"S00163603",85,-,4,17,26,5,2,9,2,4,2,6,4,4,-,-,5
"S00163604",87,-,1,11,11,3,4,23,-,5,-,8,9,8,-,-,1
"S00163605",119,-,4,12,21,5,4,17,3,-,3,9,17,15,5,4,6
"S00163606",97,-,5,11,23,4,3,13,1,5,1,7,4,9,6,-,4
"S00163607",88,-,7,10,17,7,2,12,3,5,2,4,10,6,-,-,4
"S00163608",57,-,2,3,11,2,2,6,3,6,2,-,7,7,-,-,4
"S00163609",55,-,2,8,14,3,1,8,-,1,-,3,2,4,5,-,7
"S00163610",115,-,6,7,28,5,3,16,4,6,5,3,10,8,8,2,3
"S00163611",117,-,2,6,21,1,10,18,1,5,6,10,10,10,4,-,7
"S00163612",83,-,-,5,17,5,6,17,-,6,4,5,12,8,2,-,-
"S00163613",92,-,3,7,14,4,4,21,5,6,4,3,9,10,2,-,3
"S00163614",147,-,3,11,33,4,9,15,2,7,4,3,22,21,7,4,3
"S00163615",58,-,2,8,17,-,-,4,1,-,2,1,8,5,-,-,6
"S00163616",71,-,5,11,15,3,1,8,1,3,6,2,6,6,1,2,4
"S00163617",66,-,1,10,13,-,3,5,-,4,2,1,7,8,1,4,3
"S00163618",84,-,2,6,18,1,2,12,2,7,5,5,6,9,3,-,3
"S00163619",73,-,1,5,16,2,3,12,-,5,2,3,6,8,4,-,3
"S00163620",119,-,9,21,19,9,2,13,3,8,5,4,9,4,4,-,11
"S00163621",83,-,3,3,16,2,2,8,1,6,2,4,18,11,3,-,2
"S00163622",134,-,7,11,27,1,7,18,4,8,6,7,13,11,4,-,7
"S00163623",81,-,-,7,6,5,2,8,1,6,-,6,14,14,1,-,7
"S00163624",79,-,4,6,8,3,1,9,2,7,3,2,10,21,1,2,6
"S00163625",121,-,4,13,32,7,2,11,3,10,1,6,13,7,2,1,7
"S00163626",129,-,8,13,25,4,5,21,2,12,7,6,6,13,1,2,3
"S00163627",63,-,4,8,14,2,5,11,-,5,3,-,6,5,-,-,1
"S00163628",95,-,10,5,18,2,4,19,5,6,2,1,8,9,5,-,6
"S00163629",70,-,2,9,9,4,6,13,3,6,2,5,7,3,2,-,-
"S00163630",114,-,1,13,22,7,3,19,-,3,5,7,11,17,-,3,4
"S00163631",108,-,2,9,19,4,8,13,3,11,3,7,10,15,2,-,4
"S00163632",136,-,7,9,22,5,3,19,2,9,8,8,19,11,4,2,9
"S00163633",76,1,4,10,11,-,6,8,-,2,4,7,9,6,2,-,3
"S00163634",111,-,2,21,24,4,5,13,3,6,6,8,6,8,1,-,5
"S00163635",106,-,-,4,20,5,6,14,-,4,9,5,9,20,9,1,3
"S00163636",137,-,4,12,28,5,5,19,4,10,3,5,11,21,1,-,9
"S00163637",69,-,4,15,15,2,-,10,2,5,3,3,4,8,-,1,2
"S00163638",103,-,1,15,20,-,1,17,-,6,1,5,14,12,2,-,7
"S00163639",103,-,5,8,14,3,4,20,-,5,3,8,9,16,-,-,1
"S00163640",91,-,2,5,26,4,2,6,3,4,2,1,15,12,2,2,5
"S00163641",85,-,5,8,12,3,2,11,5,10,6,12,8,3,2,1,1
"S00163642",100,-,2,7,17,4,2,11,5,10,5,6,6,14,2,-,3
"S00163643",100,2,6,15,23,3,6,11,-,6,4,7,10,6,2,-,5
"S00163644",76,-,2,9,23,4,1,8,2,6,2,2,5,7,2,-,1
"S00163645",126,-,6,16,25,5,1,12,2,8,7,9,14,7,5,-,8
"S00163646",77,-,-,12,19,2,5,10,1,7,1,2,8,6,1,-,5
"S00163647",82,-,11,11,9,3,1,14,5,6,1,1,6,12,1,-,4
"S00163648",146,-,5,19,33,7,9,20,2,7,5,7,11,10,5,-,2
"S00163649",147,-,14,17,29,8,3,20,6,6,5,7,17,1,-,4,16
"S00163650",97,-,3,7,26,6,2,18,1,3,4,4,9,10,-,-,5
"S00163651",102,-,5,7,26,3,-,12,6,7,2,5,4,11,4,-,11
"S00163652",66,-,-,4,6,3,4,6,-,4,-,2,13,10,6,-,9
"S00163653",131,-,4,6,20,4,4,20,1,10,9,9,17,14,4,-,5
"S00163654",128,-,1,9,16,-,5,19,1,21,5,6,18,15,2,1,6
"S00163655",103,-,7,23,27,4,1,15,1,5,2,1,9,4,1,-,2
"S00163656",63,1,3,5,10,5,4,5,2,6,5,4,5,3,-,-,3
"S00163657",147,-,5,17,27,1,7,17,5,17,8,10,11,13,5,1,3
"S00163658",94,-,5,8,23,6,4,13,4,5,4,4,9,5,-,-,5
"S00163659",63,-,1,1,7,2,5,7,-,7,7,2,7,6,2,-,10
"S00163660",70,-,-,1,6,4,3,5,2,4,5,3,6,18,3,1,5
"S00163661",78,-,4,5,15,4,7,9,1,-,-,9,8,10,1,-,3
"S00163662",70,-,-,7,18,1,8,10,1,2,2,3,3,13,-,-,4
"S00163663",144,-,9,12,27,4,8,22,5,6,6,7,13,8,3,-,15
"S00163664",141,-,4,18,29,4,2,10,5,20,3,6,15,14,3,-,8
"S00163665",166,-,18,18,34,8,9,18,6,10,3,5,13,14,3,2,5
"S00163666",122,-,2,20,27,4,4,20,2,4,5,7,8,11,2,-,3
"S00163667",85,-,2,5,16,4,1,9,1,8,2,5,15,13,-,1,3
"S00163668",98,-,2,11,9,2,1,12,2,6,1,3,18,18,4,-,9
"S00163669",138,-,6,23,35,7,6,17,2,6,2,6,8,12,1,-,7
"S00163670",153,-,3,11,23,2,6,21,6,11,8,5,23,21,6,-,9
"S00163671",122,-,6,12,17,3,5,16,-,6,8,9,19,12,4,2,8
"S00163672",56,-,1,2,9,1,6,8,2,3,1,7,9,7,-,-,2
"S00163673",152,-,8,17,31,6,8,25,5,5,2,6,18,18,4,2,7
"S00163674",125,-,5,17,36,6,3,18,1,6,4,4,8,8,1,-,13
"S00163675",137,-,6,27,23,5,6,7,6,22,2,8,6,7,-,-,9
"S00163676",124,-,5,13,20,4,1,14,4,10,4,5,14,18,2,-,12
"S00163677",55,-,3,5,19,2,2,9,-,2,3,2,4,3,6,-,4
"S00163678",141,1,9,15,27,8,4,24,3,6,8,-,14,13,4,-,5
"S00163679",67,-,1,6,14,-,3,12,2,2,-,2,5,8,-,-,3
"S00163680",80,-,7,9,13,-,8,10,1,2,6,3,11,5,1,-,2
"S00163681",42,-,-,-,7,4,-,2,-,1,2,-,6,9,5,3,-
"S00163682",103,-,2,5,14,4,3,18,2,6,2,8,13,15,10,-,3
"S00163683",80,-,5,8,21,4,2,16,-,5,2,6,5,2,-,-,2
"S00163684",100,-,-,15,31,6,7,14,1,9,4,2,6,7,-,-,3
"S00163685",119,-,4,7,15,7,9,18,2,10,9,4,9,12,1,1,11
"S00163686",87,-,4,9,14,4,5,17,-,3,1,5,10,7,1,-,4
"S00163687",97,-,9,10,15,7,4,7,3,15,5,4,6,6,2,1,2
"S00163688",85,-,1,15,16,3,3,13,2,-,5,9,6,6,-,-,3
"S00163689",98,-,4,11,18,12,5,20,2,4,3,2,4,11,-,-,1
"S00163690",92,-,3,8,22,2,2,6,5,14,4,2,9,5,6,-,1
"S00163691",92,1,3,5,17,2,5,9,4,16,4,2,7,10,8,-,6
"S00163692",157,1,7,20,24,7,6,18,11,19,7,3,10,12,3,-,6
"S00163693",110,-,2,8,12,4,2,12,3,15,3,4,20,13,3,1,3
"S00163694",64,-,5,11,8,3,1,5,7,13,-,1,6,4,4,-,-
"S00163695",110,-,3,13,12,2,4,19,3,16,5,5,10,18,3,-,1
"S00163696",145,-,5,17,31,6,7,9,6,25,4,6,13,9,2,-,4
"S00163697",71,-,4,4,17,2,3,10,4,8,2,6,5,5,2,-,3
"S00163698",89,1,2,8,17,5,2,8,3,12,5,4,8,11,1,2,1
"S00163699",83,-,3,10,12,1,4,7,10,5,7,1,5,10,4,-,1
"S00163700",93,1,1,9,25,4,3,5,7,14,-,3,8,7,3,-,-
"S00163701",131,-,3,9,25,9,7,9,6,13,5,10,14,15,6,-,5
"S00163702",160,1,7,4,27,4,6,20,7,23,5,10,20,11,5,-,9
"S00163703",115,-,2,13,11,3,3,9,2,23,6,2,12,15,6,-,4
"S00163704",143,-,2,23,19,3,6,11,11,21,3,4,12,18,2,2,7
"S00163705",113,-,6,12,21,8,-,4,7,22,6,4,4,8,3,2,6
"S00163706",160,-,6,12,32,3,4,15,5,23,6,8,12,15,4,-,13
"S00163707",68,-,-,13,15,1,1,4,6,9,-,6,12,4,-,-,1
"S00163708",113,-,4,6,19,2,5,18,5,8,6,4,11,11,2,-,12
"S00163709",140,-,1,31,25,11,1,12,2,26,2,5,7,10,5,-,3
"S00163710",103,-,3,14,23,5,4,8,2,18,2,8,8,8,-,1,2
"S00163711",73,-,3,7,11,3,2,6,3,17,5,2,4,7,2,-,2
"S00163712",57,-,2,6,8,4,2,12,1,4,5,-,8,9,2,-,-
"S00163713",109,-,3,13,23,2,2,12,11,13,2,4,8,15,2,-,-
"S00163714",66,2,6,8,10,4,-,5,4,8,-,1,3,7,6,-,3
"S00163715",126,-,1,14,13,3,3,13,5,31,3,4,16,7,3,-,14
"S00163716",91,-,6,7,10,2,3,11,3,19,3,4,8,9,1,-,2
"S00163717",62,-,1,8,12,-,3,6,2,16,2,2,3,4,-,-,4
"S00163718",110,-,3,3,18,1,-,5,4,13,5,2,12,12,5,1,25
"S00163719",143,-,4,13,32,1,3,7,6,29,3,4,15,10,13,-,6
"S00163720",90,-,1,8,13,3,2,9,2,13,2,2,11,14,-,-,7
"S00163721",86,-,4,4,16,1,6,6,6,20,4,1,7,9,2,-,1
"S00163722",119,-,3,9,14,3,1,13,4,22,5,4,14,18,6,-,1
"S00163723",143,-,3,7,24,8,3,13,7,24,8,2,18,21,3,1,8
"S00163724",90,-,2,10,16,2,5,7,4,11,3,3,11,7,3,-,6
"S00163725",110,2,4,22,20,2,4,8,2,19,4,3,6,5,-,-,7
"S00163726",62,-,2,6,12,-,2,4,4,11,3,1,8,4,2,-,3
"S00163727",48,-,1,2,5,3,-,8,2,3,-,3,6,16,-,1,-
"S00163728",63,-,-,6,11,1,-,6,3,13,-,4,5,5,5,-,2
"S00163729",152,-,5,16,20,4,5,19,9,20,6,4,10,17,3,1,7
"S00163730",132,-,4,9,27,2,5,8,10,24,8,4,11,18,2,-,1
"S00163731",74,-,3,2,16,-,1,5,7,12,3,2,7,8,5,-,2
"S00163732",120,-,6,9,16,4,3,11,10,26,4,3,7,7,6,1,6
"S00163733",124,-,7,10,17,5,3,13,9,19,3,3,15,13,1,1,3
"S00163734",150,2,12,12,28,2,8,9,7,18,5,4,17,12,5,-,6
"S00163735",131,-,5,8,13,-,4,12,5,14,12,4,16,25,4,-,7
"S00163736",121,-,5,10,25,4,1,11,5,18,5,5,10,12,7,2,1
"S00163737",89,-,7,7,24,5,1,6,8,10,1,2,8,8,-,-,3
"S00163738",83,-,2,11,13,5,2,10,6,10,2,-,15,2,-,-,4
"S00163739",112,-,-,10,18,2,6,20,5,13,4,6,11,14,3,-,2
"S00163740",113,-,7,16,20,4,-,6,5,16,8,-,8,13,4,1,4
"S00163741",90,-,4,5,12,4,4,3,1,10,6,3,20,13,4,-,3
"S00163742",83,-,5,4,24,5,2,6,3,5,2,6,3,13,8,-,2
"S00163743",105,1,6,5,6,4,4,12,1,22,7,2,10,16,6,1,1
"S00163744",135,-,7,13,29,2,3,11,4,16,5,10,12,12,3,-,6
"S00163745",144,2,3,16,26,6,8,15,3,19,2,7,15,7,7,-,6
"S00163746",56,-,6,8,12,2,1,6,1,8,-,2,6,6,-,-,4
"S00163747",81,-,-,4,8,-,4,6,2,6,5,8,9,19,5,-,2
"S00163748",62,-,4,12,17,2,1,2,6,6,2,2,2,2,-,-,-
"S00163749",79,-,2,7,12,4,2,7,4,4,2,9,10,7,5,-,5
"S00163750",89,-,1,9,10,1,2,7,-,9,10,1,15,12,6,-,4
"S00163751",152,-,3,20,27,4,7,18,6,20,1,6,16,16,2,-,7
"S00163752",104,-,2,7,20,4,3,10,6,9,1,7,12,12,3,-,7
"S00163753",120,-,2,7,29,3,8,21,1,8,5,9,10,10,2,-,6
"S00163754",148,-,2,13,28,10,8,17,5,19,6,7,18,6,3,-,7
"S00163755",90,1,4,14,12,4,3,7,3,16,4,3,8,10,1,-,2
"S00163756",76,-,5,4,5,1,1,5,6,11,8,7,8,9,2,-,3
"S00163757",99,-,6,10,15,5,4,9,4,12,5,5,10,8,5,-,9
"S00163758",113,-,4,5,11,6,4,11,9,10,5,4,10,21,4,-,1
"S00163759",132,2,9,6,23,4,4,4,4,11,7,2,20,24,9,1,5
"S00163760",128,4,4,9,16,3,4,9,11,14,7,3,12,18,10,2,4
"S00163761",83,-,5,3,13,2,1,9,-,10,3,5,10,8,2,-,6
"S00163762",94,-,2,9,13,4,3,4,2,9,3,-,16,18,6,1,3
"S00163763",87,-,1,3,8,5,-,8,-,10,4,4,17,20,3,2,1
"S00163764",114,1,-,8,20,9,5,8,3,14,4,4,18,18,5,-,2
"S00163765",109,-,3,15,24,3,-,8,3,15,9,9,2,14,2,-,5
"S00163766",64,-,3,4,7,2,2,9,-,6,2,5,8,13,2,2,2
"S00163767",54,-,1,5,9,-,3,2,1,7,1,2,3,17,1,-,-
"S00163768",68,-,1,8,14,2,1,6,1,6,4,2,6,8,2,-,4
"S00163769",54,-,1,3,4,1,1,7,2,8,5,2,10,18,2,-,-
"S00163770",94,-,4,10,5,7,1,5,-,5,5,5,17,25,2,-,2
"S00163771",90,1,3,9,12,4,3,6,2,10,8,2,12,11,4,-,2
"S00163772",74,-,2,5,8,1,1,5,3,11,3,6,13,18,2,-,2
"S00163773",78,-,1,7,4,-,6,5,-,5,4,3,11,16,2,2,10
"S00163774",84,-,5,5,10,2,1,7,6,5,5,3,13,10,10,-,1
"S00163775",92,-,1,2,13,5,3,5,2,10,5,4,13,25,5,-,3
"S00163776",123,-,3,8,16,2,5,20,5,10,12,6,18,15,3,-,5
"S00163777",58,-,5,8,9,3,3,5,2,5,2,-,6,4,-,2,1
"S00163778",102,-,7,2,15,2,3,4,-,12,8,6,11,14,8,1,5
"S00163779",83,-,-,6,5,5,2,8,1,4,6,1,13,26,2,-,3
"S00163780",90,-,6,4,8,4,2,10,1,12,4,7,18,14,3,-,3
"S00163781",61,-,2,4,12,1,3,7,3,6,1,-,7,7,4,-,2
"S00163782",91,-,3,10,9,6,-,14,4,12,8,3,11,9,-,1,3
"S00163783",96,-,6,3,15,2,-,11,6,16,1,2,13,13,9,1,-
"S00163784",69,-,1,-,8,-,1,4,1,5,3,4,21,13,3,-,1
"S00163785",60,-,-,10,18,3,-,4,2,10,-,-,2,5,-,-,2
"S00163786",123,-,11,15,14,4,5,11,6,13,5,8,12,12,3,-,9
"S00163787",151,1,7,16,47,7,3,16,6,5,4,5,12,16,8,2,4
"S00163788",101,-,5,10,9,2,3,9,5,8,18,2,8,11,9,2,3
"S00163789",94,-,5,8,15,4,1,6,-,8,-,2,12,21,4,-,1
"S00163790",88,-,2,10,13,3,5,9,7,16,4,3,6,7,4,-,-
"S00163791",136,-,3,13,23,4,1,16,11,16,4,8,8,13,8,-,4
"S00163792",130,-,5,10,15,6,-,4,13,18,11,4,19,22,6,-,4
"S00163793",67,-,1,3,11,-,1,2,4,15,1,7,11,12,1,1,1
"S00163794",97,-,5,5,9,3,3,2,6,15,12,4,11,11,-,-,5
"S00163795",60,-,6,4,7,-,-,11,6,6,1,-,4,8,4,-,1
"S00163796",118,-,5,9,25,4,-,9,4,27,5,-,7,9,7,1,3
"S00163797",88,-,6,3,15,3,-,10,4,14,3,3,10,9,-,-,-
"S00163798",126,-,4,15,25,3,2,11,4,18,6,10,13,10,2,-,6
"S00163799",154,-,7,18,14,4,5,14,7,28,8,4,11,20,4,-,8
"S00163800",99,-,3,3,16,2,5,7,3,11,7,5,17,15,-,1,1
"S00163801",77,-,3,9,17,1,2,5,-,10,2,3,8,9,-,-,4
"S00163802",97,-,2,5,15,4,2,9,3,13,4,4,8,14,6,2,2
"S00163803",139,-,2,2,24,4,2,13,7,15,8,3,21,19,14,1,-
"S00163804",127,-,2,13,25,5,4,13,4,19,2,9,12,8,3,1,2
"S00163805",130,-,-,19,24,7,3,6,4,28,6,4,9,14,4,-,4
"S00163806",122,-,9,12,15,3,10,5,4,25,5,4,16,12,3,-,5
"S00163807",160,-,8,15,19,6,5,23,9,30,5,4,7,9,10,-,8
"S00163808",100,-,2,5,11,4,-,7,6,19,6,5,13,11,2,-,1
"S00163809",81,-,4,4,12,4,4,8,1,4,-,4,12,14,3,-,5
"S00163810",105,-,9,10,11,7,1,12,5,12,5,5,9,16,3,-,3
"S00163811",60,-,5,10,12,3,3,2,3,6,3,5,3,2,1,-,4
"S00163812",114,-,3,4,19,-,2,8,-,19,4,4,18,19,8,-,3
"S00163813",98,-,6,9,21,6,4,2,5,14,6,6,7,6,1,-,3
"S00163814",70,-,-,2,6,2,4,5,3,4,7,2,12,17,5,1,2
"S00163815",98,-,1,13,19,3,2,5,1,10,7,2,15,9,3,4,-
"S00163816",103,-,4,17,21,-,6,10,-,20,3,4,7,3,4,-,5
"S00163817",54,-,2,4,13,-,2,2,1,12,3,3,9,6,-,-,2
"S00163818",85,-,2,8,24,3,5,3,2,15,4,1,10,6,-,1,2
"S00163819",83,-,3,10,14,1,2,6,11,14,5,3,6,5,2,-,4
"S00163820",91,-,7,11,16,2,1,8,6,15,4,2,4,9,1,-,5
"S00163821",72,-,1,3,7,2,3,5,3,6,3,3,19,13,3,-,1
"S00163822",73,-,2,11,10,2,6,5,1,9,4,3,6,16,6,-,2
"S00163823",97,-,3,15,14,5,2,5,3,15,4,3,8,5,2,1,2
"S00163824",81,-,6,9,4,2,-,6,7,8,4,4,12,13,2,1,1
"S00163825",126,-,7,6,21,7,4,17,1,17,1,8,11,17,1,2,-
"S00163826",66,-,1,4,6,4,2,5,3,12,6,3,4,6,2,-,7
"S00163827",121,-,5,15,14,3,4,10,2,23,3,6,13,8,4,-,7
"S00163828",108,-,7,8,15,7,1,5,1,17,5,2,19,11,11,-,2
"S00163829",60,-,5,6,13,-,3,5,2,6,1,3,8,9,-,-,-
"S00163830",60,-,5,13,12,4,-,4,2,6,2,-,1,3,1,-,2
"S00163831",76,-,-,4,6,2,6,8,4,3,3,4,14,17,5,-,-
"S00163832",74,-,5,6,16,2,2,5,1,9,2,4,6,7,3,1,3
"S00163833",66,-,4,-,12,1,1,8,1,10,5,2,11,10,2,-,3
"S00163834",63,1,2,9,6,2,-,5,1,12,7,5,9,4,-,-,2
"S00163835",59,-,6,11,13,2,1,6,4,3,-,-,1,5,-,-,2
"S00163836",102,-,4,14,17,4,9,9,2,14,5,2,12,7,3,-,1
"S00163837",142,1,11,18,28,8,1,12,6,14,6,3,6,16,6,-,4
"S00163838",96,-,2,10,13,5,3,9,7,7,5,2,9,17,3,-,6
"S00163839",107,1,-,11,20,4,3,10,6,15,4,8,11,10,4,-,2
"S00163840",87,-,5,8,13,5,3,9,1,12,2,1,12,13,-,-,-
"S00163841",137,-,5,27,22,4,1,14,10,23,4,3,15,11,2,-,3
