OutputArea,All people aged 16 and over in employment the week before the census (including full-time students if they gave a work address as the address they primarily travel to for work or study),Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S00135550,43,10,4,10,11,-,-,-,-,-,8
S00135551,71,18,2,8,23,4,-,-,-,-,15
S00135552,82,15,-,21,21,3,1,-,-,3,17
S00135553,97,18,-,48,12,1,-,-,-,1,13
S00135554,34,13,1,7,6,1,-,-,-,-,6
S00135555,85,19,5,23,22,2,1,-,-,2,12
S00135556,71,14,5,20,15,7,1,2,1,-,7
S00135557,36,6,2,13,6,1,-,-,-,1,8
S00135558,73,17,5,20,16,8,-,-,-,-,9
S00135559,62,18,2,19,15,2,-,-,1,-,7
S00135560,56,15,7,20,2,4,1,-,1,-,7
S00135561,39,11,7,10,7,-,-,-,-,-,4
S00135562,51,15,3,11,12,3,-,-,-,-,6
S00135563,27,4,2,6,6,-,-,-,-,-,10
S00135564,37,5,-,9,11,8,1,-,-,-,3
S00135565,26,11,1,5,7,1,-,-,-,-,4
S00135566,44,7,-,10,14,1,-,-,-,-,10
S00135567,62,16,4,13,11,5,-,-,-,1,11
S00135568,83,16,6,27,10,6,2,-,-,2,17
S00135569,39,10,5,11,8,4,1,-,-,-,8
S00135570,51,14,2,14,7,2,-,-,1,1,9
S00135571,57,12,6,12,7,2,-,-,-,-,16
S00135572,57,17,3,13,13,1,-,-,-,-,10
S00135573,51,14,6,11,3,2,-,-,2,1,13
S00135574,42,9,5,7,11,3,-,-,-,-,7
S00135575,72,23,5,15,10,3,-,-,-,-,16
S00135576,56,14,6,19,11,1,-,-,-,-,7
S00135577,88,18,2,26,19,1,1,-,3,-,15
S00135578,62,17,3,21,14,3,-,-,-,-,4
S00135579,44,8,2,17,4,-,-,-,-,1,7
S00135580,74,13,5,21,7,8,6,-,-,-,15
S00135581,54,17,7,12,6,5,-,-,-,2,9
S00135582,54,15,3,22,3,1,-,-,2,-,7
S00135583,73,24,-,15,14,1,1,-,-,1,17
S00135584,65,16,5,20,6,5,1,-,-,-,15
S00135585,69,13,5,11,29,4,-,1,1,-,5
S00135586,52,17,2,2,18,1,-,-,-,2,10
S00135587,50,10,6,17,5,4,2,2,1,-,3
S00135588,49,10,3,20,6,3,1,-,1,1,5
S00135589,45,18,-,10,12,1,-,-,2,-,6
S00135590,50,8,-,13,15,-,2,-,-,-,11
S00135591,49,8,6,11,10,2,-,-,-,-,8
S00135592,73,23,1,18,17,4,2,-,-,-,11
S00135593,46,11,2,16,7,1,-,-,1,1,7
S00135594,57,12,3,22,11,-,2,-,-,-,7
S00135595,58,9,5,15,17,1,-,2,-,-,8
S00135596,106,21,-,37,20,4,1,-,3,-,11
S00135597,53,11,-,13,18,3,-,-,-,-,11
S00135598,39,11,2,15,4,6,1,-,-,1,2
S00135599,87,16,4,27,16,2,4,2,1,-,19
S00135600,18,4,-,1,3,-,-,-,-,-,6
S00135601,74,29,-,20,16,2,-,-,1,-,8
S00135602,66,13,8,21,7,2,5,-,-,-,11
S00135603,36,11,2,12,6,4,-,-,-,-,-
S00135604,72,25,7,18,13,-,-,-,-,-,13
S00135605,54,17,7,9,12,1,1,1,-,-,6
S00135606,99,31,3,28,13,7,-,-,-,-,13
S00135607,100,26,11,28,18,5,2,-,-,3,7
S00135608,52,10,4,17,13,2,-,-,-,1,7
S00135609,49,16,2,12,8,1,4,2,-,-,6
S00135610,47,11,4,12,7,3,-,-,-,-,9
S00135611,34,8,-,12,3,2,-,-,-,2,8
S00135612,98,30,3,23,17,7,2,-,2,1,11
S00135613,68,13,2,13,22,5,1,-,-,1,9
S00135614,49,18,4,8,9,4,-,-,-,-,10
S00135615,108,33,5,24,19,9,-,-,1,-,20
S00135616,49,16,2,11,7,5,4,-,-,-,6
S00135617,55,15,-,25,5,1,-,-,-,1,6
S00135618,28,9,3,9,2,1,-,-,-,-,6
S00135619,30,4,1,9,3,3,-,-,2,2,4
S00135620,54,7,4,14,16,-,-,-,-,-,12
S00135621,50,12,1,11,6,2,3,-,-,-,19
S00135622,59,21,1,13,8,5,1,-,1,1,12
S00135623,76,18,2,26,15,4,2,-,1,-,9
S00135624,48,15,1,10,17,2,1,-,-,1,1
S00135625,62,21,1,20,6,6,-,-,2,-,6
S00135626,35,6,2,9,11,-,1,-,-,-,7
S00135627,69,15,7,17,10,4,1,-,-,-,19
S00135628,80,22,3,22,17,2,-,-,1,-,14
S00135629,100,29,5,19,25,7,1,1,-,-,13
S00135630,50,6,5,15,17,4,-,-,-,-,4
S00135631,75,13,7,25,14,3,-,-,-,1,10
