OutputArea,All people aged 16 and over in employment the week before the census (including full-time students if they gave a work address as the address they primarily travel to for work or study),Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S00159589,55,14,8,14,7,-,1,1,-,-,10
S00159590,72,27,6,21,4,3,1,1,-,-,9
S00159591,62,10,2,8,16,10,3,-,-,-,12
S00159592,51,15,6,14,4,-,-,-,-,1,10
S00159593,40,17,5,10,2,-,-,-,-,4,2
S00159594,66,25,5,9,10,1,5,-,-,2,11
S00159595,63,30,16,4,2,-,-,2,-,-,12
S00159596,64,17,17,6,3,5,2,3,4,1,12
S00159597,45,13,8,11,5,1,1,3,-,1,4
S00159598,60,18,7,7,9,1,3,-,2,-,12
S00159599,59,26,15,3,3,3,-,-,-,1,9
S00159600,79,20,9,15,17,3,1,1,3,1,12
S00159601,57,18,2,6,15,6,1,-,-,1,8
S00159602,101,47,19,14,3,8,-,-,2,3,6
S00159603,104,31,7,17,14,8,-,4,-,-,27
S00159604,29,8,3,10,4,-,-,-,-,-,4
S00159605,86,20,11,11,22,7,-,-,-,1,14
S00159606,59,26,6,8,3,4,1,2,-,2,7
S00159607,53,15,7,9,10,-,-,-,-,-,11
S00159608,38,15,2,6,5,1,2,-,-,-,7
S00159609,93,35,-,8,12,18,3,1,-,1,15
S00159610,59,22,3,8,13,-,4,1,-,-,6
S00159611,35,16,6,5,6,2,-,-,1,-,2
S00159612,101,42,5,6,25,12,-,1,1,-,10
S00159613,36,10,-,10,2,4,-,-,-,-,7
S00159614,44,14,4,3,12,1,1,-,-,1,5
S00159615,62,17,14,10,13,4,-,-,-,1,6
S00159616,91,26,4,7,20,14,2,1,-,-,18
S00159617,111,27,6,12,22,11,2,1,1,-,29
S00159618,44,10,5,10,4,3,-,1,-,-,10
S00159619,36,10,8,5,13,-,-,-,-,-,3
S00159620,53,10,7,8,4,7,-,1,-,1,10
S00159621,37,8,2,11,8,1,-,-,1,-,9
S00159622,50,12,1,7,8,11,2,1,-,1,11
S00159623,32,9,2,5,10,1,2,-,-,-,4
S00159624,34,11,1,5,3,6,-,-,-,-,8
S00159625,42,15,8,4,3,1,-,1,-,-,9
S00159626,66,17,9,10,13,6,-,-,-,-,9
S00159627,49,24,11,4,1,1,2,-,2,1,3
S00159628,52,6,-,10,16,3,-,1,2,-,11
S00159629,103,46,19,8,13,5,1,2,2,1,9
S00159630,43,25,6,5,-,1,-,-,-,-,9
S00159631,76,24,2,4,11,20,4,-,2,1,10
S00159632,85,26,21,9,9,5,-,2,-,1,8
S00159633,42,6,2,13,10,1,2,1,-,-,7
S00159634,75,22,8,13,15,2,-,-,4,1,15
S00159635,55,13,9,4,8,3,-,-,2,1,13
S00159636,38,6,5,5,6,5,-,2,-,1,4
S00159637,39,8,4,7,6,5,1,-,-,-,4
S00159638,75,14,6,13,22,7,-,-,-,1,10
S00159639,44,18,6,7,4,1,-,-,-,-,8
S00159640,71,34,17,10,2,3,-,-,-,2,1
S00159641,35,9,2,7,5,1,-,-,-,-,5
S00159642,40,16,2,11,5,4,-,-,1,-,4
S00159643,61,19,7,7,13,4,-,-,1,-,8
S00159644,21,6,-,8,2,1,-,-,-,-,4
S00159645,46,15,6,9,1,4,-,1,-,1,9
S00159646,44,14,11,9,3,1,-,-,-,-,5
S00159647,90,27,3,16,17,4,1,2,-,-,20
S00159648,87,20,5,3,25,18,2,-,2,1,15
S00159649,39,18,-,6,1,4,2,-,-,1,5
S00159650,32,11,3,6,8,2,-,1,-,-,5
S00159651,112,23,12,30,24,9,2,-,1,1,17
S00159652,45,17,4,7,4,-,2,1,-,-,12
S00159653,112,36,4,9,17,16,3,1,4,-,20
S00159654,100,32,5,12,26,2,1,4,-,-,18
S00159655,95,20,10,5,20,10,-,1,5,1,17
S00159656,59,22,5,7,13,4,-,-,1,1,9
S00159657,51,18,3,5,11,4,-,-,1,-,9
S00159658,50,20,1,11,7,2,-,-,-,-,8
S00159659,86,25,1,7,21,7,1,-,-,-,23
S00159660,51,20,1,4,18,4,-,-,-,1,5
S00159661,27,8,1,8,2,-,1,-,-,-,6
S00159662,34,5,3,8,7,2,-,-,-,-,1
S00159663,59,18,10,9,3,1,1,-,3,-,8
S00159664,65,28,12,10,4,-,-,2,1,2,9
S00159665,60,29,13,6,2,4,-,2,-,2,3
S00159666,101,32,4,10,24,19,-,1,1,-,7
S00159667,24,10,5,1,1,4,1,1,-,-,2
S00159668,77,31,13,3,11,4,-,-,1,-,10
S00159669,79,21,20,16,3,3,-,1,-,1,7
S00159670,34,12,3,5,7,1,-,-,-,-,4
S00159671,38,9,6,4,7,4,-,-,-,-,11
S00159672,20,3,1,4,6,1,-,-,-,-,4
S00159673,45,10,2,2,13,8,-,-,2,-,9
S00159674,75,19,11,10,19,2,-,-,2,-,11
S00159675,71,24,1,6,18,7,3,-,-,-,7
S00159676,44,10,4,8,13,1,-,1,-,2,7
S00159677,46,9,10,6,11,6,-,-,-,-,7
S00159678,39,9,8,6,4,3,1,2,-,1,8
S00159679,84,37,6,12,6,2,1,1,-,-,15
S00159680,64,29,7,10,4,3,-,3,2,-,4
S00159681,61,19,17,5,5,3,-,1,1,-,10
S00159682,20,7,1,2,3,2,-,-,-,-,5
S00159683,71,35,16,1,6,2,1,2,-,1,7
S00159684,53,23,6,9,6,3,-,-,-,-,5
S00159685,44,10,4,8,3,2,1,-,-,-,16
S00159686,55,15,7,7,4,5,-,-,1,1,8
S00159687,27,8,1,5,4,2,-,1,-,-,5
S00159688,70,25,12,11,3,3,-,4,1,3,8
S00159689,49,17,5,16,5,3,1,1,2,-,5
S00159690,35,12,4,7,3,4,-,-,-,-,5
S00159691,24,6,4,10,2,-,-,-,-,-,4
S00159692,22,4,-,3,7,2,-,-,-,-,6
S00159693,51,16,-,2,13,9,4,1,1,-,4
S00159694,74,22,-,17,8,9,-,2,3,-,13
S00159695,57,18,13,6,4,4,-,-,3,2,8
S00159696,75,29,15,14,7,3,1,1,2,-,4
S00159697,32,7,1,4,8,3,1,-,-,1,12
S00159698,77,21,1,9,15,13,3,-,-,1,9
S00159699,79,32,4,3,18,9,-,-,1,-,12
S00159700,87,29,17,12,8,5,-,1,2,1,12
S00159701,54,14,4,6,16,2,-,1,-,-,10
S00159702,35,9,-,8,13,2,-,-,-,2,7
S00159703,84,21,-,5,17,18,2,2,2,2,14
S00159704,22,5,2,7,1,4,-,-,1,-,2
S00159705,52,17,-,2,13,9,2,1,2,-,6
S00159706,56,30,4,6,6,2,-,-,-,2,8
S00159707,49,16,2,7,9,4,1,-,1,-,8
S00159708,96,35,4,17,14,10,-,1,-,-,13
S00159709,30,6,-,8,7,1,-,-,-,1,6
S00159710,50,17,10,6,9,-,-,-,2,-,4
S00159711,49,14,5,11,4,6,-,-,-,-,8
S00159712,80,23,6,14,14,3,1,3,-,2,15
S00159713,50,20,12,5,-,2,1,-,-,1,13
S00159714,55,19,6,8,10,3,1,-,-,-,12
S00159715,115,40,15,24,9,10,1,-,-,2,14
S00159716,28,5,1,4,5,3,-,-,-,-,6
S00159717,44,14,10,8,1,1,-,-,-,1,7
S00159718,83,24,11,20,6,5,1,-,2,-,14
S00159719,31,4,1,8,6,3,-,-,4,-,4
S00159720,103,30,6,19,14,9,-,3,-,4,18
S00159721,93,38,6,4,22,8,4,2,4,-,8
S00159722,44,21,1,3,6,5,-,-,-,-,6
S00159723,60,20,1,6,8,10,2,-,-,-,8
S00159724,45,8,4,12,6,2,1,1,-,-,11
S00159725,41,8,6,11,4,-,2,1,-,2,6
S00159726,44,12,4,8,10,-,2,1,-,-,8
S00159727,60,26,9,7,5,1,1,-,-,1,10
S00159728,59,23,15,7,1,1,-,1,1,1,7
S00159729,90,34,8,22,7,1,-,1,-,-,11
S00159730,66,22,1,10,18,6,-,-,-,1,11
S00159731,79,24,1,7,14,10,-,1,-,-,17
S00159732,28,11,7,6,2,1,2,-,-,2,-
S00159733,58,36,8,3,1,4,1,-,-,1,3
S00159734,46,19,3,4,1,3,-,1,-,-,14
S00159735,21,10,1,8,-,-,-,-,-,-,3
S00159736,47,10,3,2,12,8,2,-,1,-,9
S00159737,45,7,4,12,6,4,3,1,-,2,7
S00159738,113,30,4,15,14,15,1,1,2,5,26
S00159739,69,31,10,10,2,4,4,-,-,3,6
S00159740,31,8,3,3,10,-,1,-,-,-,3
S00159741,57,14,5,8,9,4,-,-,2,-,13
S00159742,20,7,3,2,3,-,-,-,-,-,5
S00159743,43,10,4,12,3,2,-,-,-,2,11
S00159744,48,12,5,11,11,1,-,1,-,1,7
S00159745,27,7,6,5,3,1,-,-,-,-,3
S00159746,31,10,2,16,1,-,-,-,-,-,5
S00159747,64,18,8,11,12,3,-,-,1,-,7
S00159748,20,7,2,2,2,4,-,-,-,-,3
S00159749,49,22,5,12,-,2,1,-,-,-,6
S00159750,79,12,13,13,13,6,1,-,4,2,15
S00159751,65,21,5,16,8,2,-,-,-,1,13
S00159752,92,28,6,19,10,7,3,-,3,-,12
S00159753,58,19,3,10,15,5,1,-,-,2,8
S00159754,41,15,4,5,6,3,-,-,-,2,11
S00159755,52,19,3,18,3,2,-,-,-,1,9
S00159756,29,5,4,10,3,1,-,2,-,-,6
S00159757,60,19,6,25,3,1,-,-,2,1,6
S00159758,20,9,2,3,2,-,-,-,-,-,4
S00159759,74,34,13,9,5,-,2,1,3,-,7
S00159760,56,24,2,4,10,4,2,-,-,-,9
S00159761,37,17,4,13,-,-,1,-,1,1,2
S00159762,65,24,13,4,5,3,1,-,1,2,6
S00159763,35,8,7,3,10,5,-,1,1,-,3
S00159764,36,8,4,7,2,3,2,1,-,2,8
S00159765,51,16,2,11,11,1,-,-,-,1,9
S00159766,51,19,5,9,4,6,-,-,-,-,8
S00159767,59,30,7,7,2,5,-,1,-,2,7
S00159768,64,29,5,16,2,4,-,1,-,-,7
S00159769,76,32,1,10,4,5,-,-,7,5,9
S00159770,34,12,2,9,2,-,-,-,-,1,9
S00159771,41,10,8,7,7,1,1,-,-,1,6
S00159772,60,9,5,8,11,8,-,2,-,-,14
S00159773,78,13,6,10,23,11,1,1,-,2,13
S00159774,69,23,8,7,16,4,-,1,-,-,10
S00159775,16,5,2,4,2,-,-,-,-,1,2
S00159776,50,11,7,19,4,1,-,1,-,-,9
S00159777,75,35,4,20,-,-,1,2,-,-,14
S00159778,53,19,3,6,10,2,1,-,-,-,6
S00159779,47,15,5,7,5,8,1,1,-,-,4
S00159780,60,18,2,3,16,7,2,-,-,-,12
S00159781,65,31,15,7,5,2,1,-,-,2,11
S00159782,52,25,6,11,2,4,-,-,-,-,6
S00159783,32,16,2,3,7,1,-,-,-,-,3
S00159784,45,17,-,10,7,1,-,-,-,-,10
S00159785,41,15,8,6,2,-,-,-,-,-,9
S00159786,76,19,-,22,10,3,-,1,-,1,17
S00159787,62,17,6,10,14,7,2,-,1,-,5
S00159788,26,13,1,4,3,-,-,-,-,-,5
S00159789,55,8,2,8,17,4,-,-,-,-,8
S00159790,33,10,-,-,13,6,2,-,-,-,2
S00159791,56,27,6,6,5,5,-,2,1,-,4
S00159792,39,12,4,8,8,1,-,-,-,2,5
S00159793,73,24,6,19,7,6,-,-,3,-,10
S00159794,64,28,13,6,6,1,1,-,-,-,10
S00159795,37,4,-,7,11,-,-,-,-,2,10
S00159796,57,17,2,11,6,2,1,-,-,1,10
S00159797,54,22,2,21,3,2,-,-,-,1,2
S00159798,30,10,4,8,1,-,1,-,1,-,6
S00159799,51,18,11,9,2,2,-,3,4,1,3
S00159800,26,5,3,2,4,6,-,1,-,-,3
S00159801,50,10,3,7,13,6,-,-,2,-,13
S00159802,66,22,8,17,3,3,2,1,-,2,6
S00159803,37,13,4,7,9,-,1,-,-,-,4
S00159804,54,18,11,7,-,6,-,2,-,-,7
S00159805,49,14,15,5,-,4,-,1,1,2,8
S00159806,70,33,3,19,5,-,-,-,3,-,11
S00159807,49,16,2,13,-,5,1,-,-,2,6
S00159808,95,24,9,28,4,6,1,2,-,6,18
S00159809,72,18,4,10,23,3,5,-,-,1,7
S00159810,57,24,3,11,8,1,-,-,-,-,12
S00159811,27,9,2,3,4,1,1,-,-,-,3
S00159812,26,8,2,2,-,3,1,2,-,-,5
S00159813,53,19,5,9,11,6,-,-,-,-,5
S00159814,31,8,5,1,8,5,-,-,4,-,3
S00159815,20,9,1,7,5,-,-,-,-,-,4
S00159816,54,13,4,14,14,3,-,-,2,-,5
S00159817,26,6,2,6,3,-,-,-,-,3,7
S00159818,52,14,4,9,7,7,-,-,-,-,10
S00159819,54,16,5,10,7,3,1,-,-,1,11
S00159820,47,22,2,13,4,-,-,-,1,1,6
S00159821,59,25,6,19,1,2,1,-,-,1,4
S00159822,74,23,14,6,16,4,-,2,-,-,14
S00159823,53,15,3,12,7,6,-,-,-,-,13
S00159824,36,14,7,5,6,1,-,-,-,-,3
S00159825,46,17,5,11,1,3,-,-,-,-,11
S00159826,79,18,9,16,14,8,3,1,-,-,10
S00159827,48,19,-,3,8,8,1,-,-,-,8
S00159828,66,15,2,10,12,12,-,4,4,-,12
S00159829,32,14,2,7,6,-,-,-,-,-,1
S00159830,47,16,2,2,13,8,-,-,-,-,6
S00159831,43,19,5,4,8,1,3,-,-,1,5
S00159832,77,35,10,7,6,7,-,-,1,3,8
S00159833,42,16,6,12,4,3,-,-,-,-,3
S00159834,50,16,3,9,2,-,3,-,2,3,9
S00159835,69,21,4,22,5,2,1,2,-,4,9
S00159836,46,22,4,5,2,4,-,-,-,1,8
S00159837,35,15,-,4,5,7,-,-,-,-,5
S00159838,58,20,6,13,6,8,-,1,-,-,7
S00159839,40,9,3,4,7,4,-,-,-,4,9
S00159840,49,19,5,3,10,6,-,-,1,-,5
S00159841,51,16,5,9,8,1,-,-,-,-,11
S00159842,39,7,2,9,10,2,-,-,2,-,9
S00159843,61,27,5,5,13,6,1,1,-,-,13
S00159844,62,14,3,11,10,13,2,-,2,-,8
S00159845,46,15,4,5,7,5,-,-,-,2,8
S00159846,33,10,2,9,5,3,-,-,2,-,3
S00159847,74,27,3,27,2,2,3,3,-,-,11
S00159848,28,6,4,5,4,4,2,-,-,1,4
S00159849,37,5,5,4,11,3,-,-,-,1,5
S00159850,41,19,1,9,2,2,-,-,-,-,8
S00159851,27,9,1,8,4,2,-,-,-,-,7
S00159852,88,30,2,28,8,2,2,2,-,3,13
S00159853,36,18,4,9,-,2,-,-,-,-,1
S00159854,86,41,3,22,7,1,1,1,1,-,12
S00159855,28,8,6,6,1,-,-,-,-,-,6
S00159856,49,9,5,6,12,1,1,1,-,-,15
S00159857,34,8,4,8,5,4,-,-,-,-,8
S00159858,40,20,-,7,3,1,1,-,-,3,6
S00159859,44,23,2,9,3,2,-,1,-,-,3
S00159860,39,20,-,6,4,8,-,-,1,-,-
S00159861,40,19,2,-,5,6,-,-,1,-,5
S00159862,18,6,2,1,3,-,-,-,1,1,2
S00159863,38,18,-,3,7,4,-,-,-,-,6
S00159864,64,16,6,12,10,2,-,1,-,-,16
S00159865,60,28,2,18,2,2,-,1,-,2,2
S00159866,42,11,-,9,8,6,-,1,-,-,4
S00159867,57,18,4,16,6,-,1,-,-,-,9
S00159868,35,7,5,9,9,4,-,-,1,-,4
S00159869,33,14,-,3,5,4,-,-,-,-,8
S00159870,51,15,13,10,5,-,1,-,-,-,6
S00159871,32,11,1,10,6,-,1,-,-,-,3
S00159872,75,27,3,21,1,3,1,3,1,3,9
S00159873,100,31,5,14,22,6,3,-,-,-,16
S00159874,36,6,3,2,14,4,-,-,2,-,6
S00159875,41,16,-,11,10,4,-,-,-,-,3
S00159876,43,14,2,7,9,2,1,-,-,-,11
S00159877,45,10,1,6,10,9,1,-,-,-,8
S00159878,51,11,1,4,10,6,1,-,-,1,15
S00159879,39,12,-,11,2,1,-,1,-,1,11
S00159880,48,17,6,13,2,3,-,3,1,-,2
S00159881,63,18,2,1,17,6,-,-,-,2,19
S00159882,76,24,4,21,8,4,1,-,-,1,11
S00159883,57,25,1,18,2,1,-,-,1,-,4
S00159884,42,10,5,4,10,2,-,-,-,-,11
S00159885,71,22,6,21,5,4,2,2,-,-,13
S00159886,49,15,2,10,9,2,2,-,-,1,8
S00159887,60,13,9,9,12,3,1,-,-,-,10
S00159888,18,4,1,7,2,-,1,-,-,-,2
S00159889,35,11,4,6,7,3,1,-,-,2,4
S00159890,73,30,5,19,3,-,-,-,-,-,11
S00159891,55,29,8,5,5,6,-,-,-,-,5
S00159892,35,12,-,7,4,4,2,-,-,-,7
S00159893,43,18,3,9,4,-,1,-,1,-,6
S00159894,51,19,7,1,9,6,-,1,-,-,9
S00159895,66,19,3,3,18,9,-,2,-,-,9
S00159896,51,14,-,8,20,2,-,-,-,-,7
S00159897,99,45,7,28,9,2,-,2,-,-,9
S00159898,45,19,2,13,6,-,-,-,-,-,3
S00159899,32,14,4,3,3,3,-,-,-,-,3
S00159900,62,19,3,19,7,2,-,-,1,1,12
S00159901,70,19,11,10,15,6,-,2,-,1,6
S00159902,51,14,4,6,8,7,1,1,1,-,4
S00159903,52,13,6,13,4,4,-,-,-,-,10
S00159904,42,19,1,12,-,3,-,-,-,-,6
S00159905,46,11,6,5,9,5,-,-,-,-,7
S00159906,86,31,2,7,12,13,-,1,-,2,15
S00159907,32,8,2,3,11,4,-,-,-,-,3
S00159908,47,12,2,11,8,2,2,-,2,-,9
S00159909,52,12,3,13,13,2,1,1,2,-,8
S00159910,39,9,1,13,2,2,-,-,2,-,7
S00159911,52,13,6,16,5,2,-,-,-,-,10
S00159912,59,14,7,19,6,-,-,-,-,-,7
S00159913,69,26,6,17,9,2,-,1,-,4,7
S00159914,54,20,4,12,3,-,-,2,-,-,14
S00159915,25,7,8,5,-,2,-,-,-,-,8
S00159916,45,18,4,8,4,5,-,-,-,-,9
S00159917,82,27,8,12,20,4,-,-,2,2,11
S00159918,50,20,1,12,4,-,-,-,-,-,12
S00159919,77,24,2,10,24,10,1,2,4,1,3
S00159920,19,6,2,3,4,1,-,-,-,-,3
S00159921,58,19,2,16,6,-,6,1,-,-,10
S00159922,34,10,-,10,7,3,1,-,-,-,4
S00159923,34,15,4,5,2,4,-,-,-,-,6
S00159924,44,14,3,4,7,6,-,-,-,-,12
S00159925,35,10,5,7,3,-,-,1,-,-,3
S00159926,27,9,4,3,4,1,-,1,-,-,8
S00159927,30,10,3,6,1,4,3,-,1,-,4
S00159928,23,5,2,5,3,3,-,-,-,-,3
S00159929,81,26,4,6,22,10,-,2,-,-,12
S00159930,40,18,4,8,1,4,-,-,-,-,7
S00159931,99,36,22,12,6,7,-,1,2,4,6
S00159932,54,9,8,7,12,3,-,-,1,-,10
S00159933,50,22,3,4,10,9,-,-,1,-,2
S00159934,72,25,3,8,14,7,1,-,-,1,17
S00159935,51,14,4,12,6,-,-,-,-,1,12
S00159936,43,8,1,2,11,8,1,2,-,2,9
S00159937,46,14,1,12,4,3,-,1,-,1,11
S00159938,46,23,-,16,2,-,1,4,-,-,5
S00159939,62,6,5,15,13,2,-,1,-,-,17
S00159940,34,15,-,5,5,-,-,-,-,-,6
S00159941,57,16,8,13,4,5,-,-,-,-,11
S00159942,36,17,1,-,6,7,2,-,1,-,6
S00159943,32,10,1,5,6,-,-,-,-,-,6
S00159944,64,17,5,25,6,-,1,-,1,2,6
S00159945,47,19,2,10,10,4,-,-,-,-,1
S00159946,22,12,1,6,2,2,-,-,-,-,2
S00159947,37,6,4,5,9,4,-,-,-,-,9
S00159948,32,8,1,11,3,1,1,1,-,-,6
S00159949,51,12,5,8,7,4,-,-,-,1,12
S00159950,43,16,3,6,12,1,-,-,-,-,10
S00159951,33,15,1,6,5,3,-,-,-,-,5
S00159952,54,17,1,5,12,10,-,-,1,-,8
S00159953,37,17,1,5,2,1,-,1,-,1,9
S00159954,52,18,4,9,8,4,1,-,1,3,4
S00159955,43,10,1,10,6,6,-,-,-,1,4
S00159956,35,8,2,9,4,1,1,-,1,1,7
S00159957,44,7,6,9,10,4,-,-,-,-,11
S00159958,82,25,12,18,12,4,-,-,-,-,10
S00159959,62,15,5,11,15,3,-,3,-,2,8
S00159960,62,26,10,6,9,2,-,-,1,1,5
S00159961,53,21,4,2,9,11,1,-,-,-,9
S00159962,62,27,3,19,5,2,1,1,-,1,5
S00159963,44,16,2,12,4,2,-,-,-,-,8
S00159964,46,16,4,6,4,1,2,-,1,-,9
S00159965,35,15,-,2,5,6,-,1,1,-,8
S00159966,97,33,1,11,19,10,1,1,-,-,16
S00159967,48,16,-,8,14,-,1,-,-,-,9
S00159968,63,20,1,-,9,12,5,3,3,-,8
S00159969,81,36,-,15,7,-,1,1,3,1,16
S00159970,19,4,4,1,5,2,-,-,1,2,5
S00159971,28,3,2,10,8,-,-,-,-,1,4
S00159972,54,19,3,12,10,1,4,-,-,-,10
S00159973,49,16,1,3,22,3,-,-,-,1,7
S00159974,25,15,3,9,1,1,-,-,-,-,5
S00159975,52,20,-,17,4,-,-,2,-,2,5
S00159976,59,16,6,12,9,2,-,-,-,2,11
S00159977,51,9,1,3,14,16,-,-,-,-,10
S00159978,50,16,2,4,10,7,-,2,-,2,10
S00159979,40,11,-,13,6,-,3,-,-,-,6
S00159980,75,29,12,12,8,3,1,-,-,-,6
S00159981,34,11,2,4,3,5,-,-,-,-,9
S00159982,61,14,9,13,12,5,-,-,-,-,5
S00159983,62,21,7,15,7,3,1,-,-,1,7
S00159984,61,11,6,8,14,2,2,-,-,2,15
S00159985,39,16,4,11,-,4,-,-,-,-,3
S00159986,55,21,-,7,12,9,-,-,-,-,9
S00159987,30,10,1,4,4,3,-,1,-,-,7
S00159988,29,11,3,3,5,3,-,-,2,-,8
S00159989,27,5,4,6,1,5,-,-,-,-,9
S00159990,50,18,5,8,8,4,-,-,1,2,8
S00159991,51,12,1,10,13,3,-,-,-,-,8
S00159992,51,21,-,-,6,9,-,-,-,-,9
S00159993,46,11,-,5,16,5,-,1,1,-,7
S00159994,40,7,4,14,6,1,1,-,1,1,6
S00159995,32,8,3,8,5,2,-,1,-,-,10
S00159996,45,14,4,6,12,5,-,-,-,-,7
S00159997,59,16,8,15,6,6,1,-,-,-,11
S00159998,29,2,-,8,9,1,-,-,-,-,8
S00159999,25,9,3,9,1,4,-,-,-,-,5
S00160000,59,30,-,7,5,3,5,-,1,1,7
S00160001,31,5,1,6,9,2,-,-,-,1,7
S00160002,30,7,1,8,7,1,1,-,-,-,5
S00160003,47,17,3,5,8,5,-,-,-,1,8
S00160004,49,13,4,10,10,3,-,-,-,1,13
S00160005,43,20,2,5,5,1,-,-,2,-,5
S00160006,63,24,6,10,8,9,-,-,-,1,8
S00160007,38,11,3,6,9,1,1,-,-,-,6
S00160008,38,12,-,4,10,4,-,-,-,-,11
S00160009,48,18,2,11,9,-,2,1,-,1,6
S00160010,49,23,-,8,6,4,1,1,-,-,7
S00160011,63,20,5,14,6,-,1,-,-,-,19
S00160012,54,14,5,15,8,-,1,-,-,1,10
S00160013,42,7,7,9,6,5,-,-,-,1,10
S00160014,32,6,-,7,9,1,-,-,-,-,8
S00160015,44,11,6,8,5,5,1,-,-,-,7
S00160016,31,6,4,6,5,6,-,-,-,2,5
S00160017,48,15,3,11,4,2,-,-,-,-,13
S00160018,26,12,3,4,-,-,-,-,-,-,6
S00160019,41,15,2,8,9,2,1,-,-,-,1
S00160020,29,9,2,8,6,5,-,-,-,-,1
S00160021,44,13,1,11,10,4,-,-,-,1,3
S00160022,66,20,9,13,4,1,1,2,1,3,9
S00160023,60,25,4,8,12,4,1,-,-,-,6
S00160024,51,15,-,4,9,9,2,-,-,1,13
S00160025,35,18,4,3,2,1,-,1,-,-,7
S00160026,50,15,2,16,6,-,1,3,1,-,7
S00160027,47,19,1,4,8,5,-,1,-,1,4
S00160028,48,8,4,6,12,2,1,1,-,-,13
S00160029,33,8,6,5,1,-,2,-,-,-,10
S00160030,72,31,5,9,12,1,-,1,-,-,15
S00160031,54,14,3,12,7,3,-,-,1,2,10
S00160032,38,8,8,5,5,1,-,-,-,-,10
S00160033,47,12,4,3,7,10,2,1,-,-,12
S00160034,45,18,-,16,1,3,-,-,-,1,9
S00160035,92,34,1,13,17,12,1,1,2,1,11
S00160036,64,27,7,11,4,1,2,-,-,-,10
S00160037,61,16,1,10,14,10,1,1,-,-,9
S00160038,35,13,-,8,3,1,-,1,-,-,8
S00160039,64,24,1,5,16,8,-,3,-,-,7
S00160040,70,16,7,12,12,7,1,-,1,2,13
S00160041,56,27,4,4,13,6,-,-,-,-,7
S00160042,64,12,4,13,6,4,5,-,-,3,21
S00160043,63,19,3,11,7,3,-,-,2,2,16
S00160044,45,21,2,7,7,3,1,-,1,-,3
S00160045,48,14,4,9,7,4,4,-,-,4,4
S00160046,38,12,5,9,-,-,-,-,-,-,6
S00160047,48,19,3,4,8,5,1,1,-,-,5
S00160048,45,12,2,6,11,4,-,-,1,-,10
S00160049,58,16,5,17,9,2,-,-,-,-,6
S00160050,42,4,4,14,8,5,2,-,-,-,9
S00160051,63,11,8,17,8,4,-,3,-,-,12
S00160052,21,7,5,4,4,-,-,-,-,-,6
S00160053,76,30,-,6,14,7,5,2,-,-,12
S00160054,22,7,4,3,2,1,-,-,-,-,6
S00160055,44,19,1,8,9,-,-,-,1,-,4
S00160056,77,17,10,15,13,6,2,1,-,2,10
S00160057,64,26,2,19,8,6,-,-,-,-,2
S00160058,28,6,2,6,9,-,-,-,-,-,5
S00160059,59,24,1,3,15,3,-,2,1,2,8
S00160060,40,12,8,2,4,4,-,-,-,-,10
S00160061,28,11,5,5,2,-,-,-,-,-,5
S00160062,27,11,3,5,2,2,-,-,-,-,1
S00160063,77,31,4,18,9,4,-,1,-,3,4
S00160064,33,9,3,5,7,2,-,-,1,-,3
S00160065,76,18,8,17,17,3,-,-,-,-,11
S00160066,31,12,4,6,1,1,-,-,-,-,6
S00160067,34,17,5,4,3,1,-,-,1,-,4
S00160068,65,32,4,6,12,2,5,-,-,-,8
S00160069,42,16,2,11,4,-,-,-,-,-,7
S00160070,78,27,2,6,11,11,-,-,2,-,17
S00160071,86,49,-,6,6,7,1,2,2,4,11
S00160072,53,16,2,12,3,6,4,-,-,-,11
S00160073,31,7,-,6,7,3,-,-,-,-,6
S00160074,53,18,4,11,11,3,-,1,-,2,8
S00160075,38,10,4,7,7,4,-,-,-,-,6
S00160076,74,25,5,5,16,9,-,1,1,-,15
S00160077,82,26,-,5,13,17,4,-,-,-,14
S00160078,37,18,-,8,5,1,-,1,-,-,-
S00160079,77,32,11,17,5,2,1,-,1,1,7
S00160080,36,10,2,5,8,2,-,-,-,1,8
S00160081,56,14,5,10,8,9,-,-,-,1,9
S00160082,39,12,4,6,8,3,-,-,-,-,6
S00160083,55,18,1,15,2,6,-,1,-,2,8
S00160084,37,13,5,12,2,1,-,1,-,-,3
S00160085,21,6,-,5,3,-,-,-,-,-,2
S00160086,51,18,3,6,13,8,-,-,-,-,5
S00160087,86,26,5,11,20,9,-,-,-,-,15
S00160088,20,11,3,5,4,2,-,-,-,-,2
S00160089,43,20,1,3,8,5,-,-,-,-,5
S00160090,22,6,-,2,6,3,-,-,-,-,6
S00160091,57,26,3,9,7,3,-,1,-,1,9
S00160092,51,18,5,5,4,7,-,-,-,-,10
S00160093,50,20,8,10,5,-,1,-,-,-,6
S00160094,43,13,6,7,1,4,2,-,-,1,9
S00160095,32,17,1,6,2,1,-,-,-,-,5
S00160096,29,7,4,5,6,2,-,-,-,-,3
S00160097,34,12,3,7,1,-,-,2,-,-,11
S00160098,36,10,4,10,5,-,-,-,-,-,10
S00160099,29,7,1,9,6,-,-,-,-,-,3
S00160100,63,29,3,6,6,-,2,2,1,1,13
S00160101,43,13,3,6,11,4,-,-,-,-,7
