OutputArea,over16pop
S00136105,120
S00136106,76
S00136107,113
S00136108,127
S00136109,88
S00136110,76
S00136111,108
S00136112,110
S00136113,77
S00136114,143
S00136115,119
S00136116,67
S00136117,98
S00136118,62
S00136119,71
S00136120,77
S00136121,111
S00136122,115
S00136123,132
S00136124,66
S00136125,88
S00136126,86
S00136127,115
S00136128,66
S00136129,88
S00136130,63
S00136131,81
S00136132,71
S00136133,88
S00136134,72
S00136135,78
S00136136,63
S00136137,80
S00136138,83
S00136139,81
S00136140,106
S00136141,67
S00136142,107
S00136143,63
S00136144,136
S00136145,271
S00136146,102
S00136147,59
S00136148,82
S00136149,69
S00136150,96
S00136151,65
S00136152,69
S00136153,75
S00136154,105
S00136155,104
S00136156,91
S00136157,54
S00136158,119
S00136159,77
S00136160,76
S00136161,79
S00136162,112
S00136163,62
S00136164,67
S00136165,52
S00136166,61
S00136167,83
S00136168,97
S00136169,55
S00136170,72
S00136171,59
S00136172,81
S00136173,62
S00136174,126
S00136175,63
S00136176,104
S00136177,86
S00136178,100
S00136179,98
S00136180,127
S00136181,59
S00136182,95
S00136183,96
S00136184,104
S00136185,93
S00136186,100
S00136187,78
S00136188,53
S00136189,87
S00136190,80
S00136191,97
S00136192,127
S00136193,116
S00136194,125
S00136195,384
S00136196,73
S00136197,108
S00136198,107
S00136199,57
S00136200,61
S00136201,84
S00136202,67
S00136203,88
S00136204,117
S00136205,74
S00136206,90
S00136207,63
S00136208,70
S00136209,85
S00136210,150
S00136211,87
S00136212,77
S00136213,69
S00136214,90
S00136215,85
S00136216,103
S00136217,114
S00136218,178
S00136219,70
S00136220,96
S00136221,60
S00136222,61
S00136223,151
S00136224,76
S00136225,83
S00136226,93
S00136227,65
S00136228,149
S00136229,87
S00136230,85
S00136231,102
S00136232,134
S00136233,73
S00136234,86
S00136235,57
S00136236,446
S00136237,139
S00136238,108
S00136239,308
S00136240,74
S00136241,66
S00136242,93
S00136243,78
S00136244,118
S00136245,585
S00136246,68
S00136247,105
S00136248,105
S00136249,72
S00136250,86
S00136251,99
S00136252,81
S00136253,72
S00136254,111
S00136255,99
S00136256,97
S00136257,103
S00136258,86
S00136259,160
S00136260,74
S00136261,83
S00136262,100
S00136263,77
S00136264,92
S00136265,101
S00136266,88
S00136267,86
S00136268,98
S00136269,85
S00136270,83
S00136271,95
S00136272,104
S00136273,59
S00136274,82
S00136275,116
S00136276,97
S00136277,60
S00136278,86
S00136279,57
S00136280,87
S00136281,111
S00136282,57
S00136283,59
S00136284,127
S00136285,103
S00136286,88
S00136287,74
S00136288,111
S00136289,135
S00136290,137
S00136291,96
S00136292,107
S00136293,77
S00136294,80
S00136295,71
S00136296,78
S00136297,100
S00136298,122
S00136299,108
S00136300,72
S00136301,124
S00136302,104
S00136303,112
S00136304,87
S00136305,115
S00136306,72
S00136307,101
S00136308,143
S00136309,118
S00136310,184
S00136311,81
S00136312,98
S00136313,75
S00136314,85
S00136315,81
S00136316,81
S00136317,90
S00136318,82
S00136319,77
S00136320,66
S00136321,83
S00136322,62
S00136323,96
S00136324,68
S00136325,116
S00136326,81
S00136327,56
S00136328,58
S00136329,99
S00136330,122
S00136331,69
S00136332,83
S00136333,407
S00136334,114
S00136335,59
S00136336,76
S00136337,102
S00136338,95
S00136339,101
S00136340,75
S00136341,57
S00136342,68
S00136343,107
S00136344,58
S00136345,107
S00136346,80
S00136347,60
S00136348,101
S00136349,96
S00136350,72
S00136351,90
S00136352,65
S00136353,109
S00136354,72
S00136355,90
S00136356,58
S00136357,77
S00136358,108
S00136359,79
S00136360,64
S00136361,63
S00136362,106
S00136363,72
S00136364,79
S00136365,124
S00136366,100
S00136367,81
S00136368,66
S00136369,115
S00136370,156
S00136371,69
S00136372,109
S00136373,102
